year,Noma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,5
1887,0
1888,8
1889,8
1890,0
1891,0
1892,5
1893,7
1894,7
1895,13
1896,8
1897,8
1898,0
1899,10
1900,13
1901,13
1902,17
1903,9
1904,11
1905,12
1906,14
1907,23
1908,21
1909,14
1910,15
1911,12
1912,42
1913,31
1914,35
1915,56
1916,66
1917,50
1918,44
1919,42
1920,47
1921,54
1922,36
1923,49
1924,46
1925,47
1926,46
1927,45
1928,48
1929,43
1930,62
1931,41
1932,42
1933,50
1934,42
1935,47
1936,40
1937,26
1938,30
1939,23
1940,26
1941,25
1942,19
1943,13
1944,25
1945,26
1946,21
1947,20
1948,23
1949,18
1950,15
1951,22
1952,22
1953,17
1954,16
1955,10
1956,12
1957,15
1958,6
1959,18
1960,8
1961,0
1962,6
1963,5
1964,6
1965,8
1966,5
1967,0
1968,0
1969,0
1970,0
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
