year,Noami
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,7
1917,8
1918,5
1919,10
1920,10
1921,10
1922,7
1923,8
1924,13
1925,20
1926,6
1927,11
1928,7
1929,13
1930,7
1931,5
1932,8
1933,11
1934,11
1935,10
1936,0
1937,7
1938,8
1939,8
1940,0
1941,0
1942,8
1943,0
1944,0
1945,5
1946,5
1947,7
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,5
1956,5
1957,5
1958,6
1959,8
1960,7
1961,7
1962,10
1963,5
1964,7
1965,7
1966,9
1967,7
1968,6
1969,6
1970,0
1971,0
1972,9
1973,12
1974,10
1975,9
1976,21
1977,9
1978,16
1979,17
1980,0
1981,7
1982,11
1983,9
1984,5
1985,8
1986,9
1987,10
1988,8
1989,14
1990,7
1991,6
1992,10
1993,17
1994,7
1995,9
1996,10
1997,6
1998,9
1999,15
2000,9
2001,11
2002,9
2003,13
2004,7
2005,7
2006,9
2007,14
2008,10
2009,17
2010,11
2011,7
2012,19
