year,Ninfa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,8
1912,9
1913,10
1914,7
1915,15
1916,6
1917,17
1918,18
1919,15
1920,16
1921,30
1922,23
1923,38
1924,33
1925,37
1926,43
1927,46
1928,53
1929,33
1930,38
1931,35
1932,33
1933,29
1934,42
1935,26
1936,36
1937,31
1938,42
1939,35
1940,27
1941,39
1942,32
1943,32
1944,27
1945,40
1946,50
1947,51
1948,51
1949,41
1950,41
1951,33
1952,38
1953,41
1954,38
1955,42
1956,42
1957,24
1958,25
1959,38
1960,32
1961,35
1962,34
1963,27
1964,27
1965,21
1966,32
1967,28
1968,20
1969,21
1970,18
1971,17
1972,24
1973,16
1974,24
1975,29
1976,22
1977,17
1978,13
1979,12
1980,20
1981,21
1982,16
1983,19
1984,17
1985,13
1986,10
1987,15
1988,13
1989,20
1990,15
1991,20
1992,16
1993,10
1994,16
1995,7
1996,20
1997,11
1998,8
1999,16
2000,8
2001,11
2002,8
2003,8
2004,11
2005,8
2006,6
2007,6
2008,6
2009,5
2010,10
2011,5
2012,0
