year,Norberto
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,14
1922,9
1923,8
1924,18
1925,14
1926,13
1927,15
1928,16
1929,20
1930,19
1931,14
1932,13
1933,14
1934,14
1935,17
1936,12
1937,8
1938,9
1939,11
1940,17
1941,12
1942,10
1943,9
1944,10
1945,18
1946,13
1947,19
1948,16
1949,25
1950,25
1951,26
1952,35
1953,37
1954,35
1955,37
1956,38
1957,52
1958,38
1959,56
1960,51
1961,74
1962,57
1963,47
1964,73
1965,50
1966,53
1967,65
1968,56
1969,59
1970,84
1971,71
1972,73
1973,73
1974,71
1975,66
1976,65
1977,73
1978,70
1979,74
1980,97
1981,103
1982,84
1983,77
1984,73
1985,73
1986,89
1987,72
1988,95
1989,89
1990,98
1991,97
1992,87
1993,98
1994,94
1995,80
1996,76
1997,71
1998,65
1999,89
2000,73
2001,84
2002,87
2003,87
2004,73
2005,71
2006,71
2007,65
2008,49
2009,46
2010,39
2011,40
2012,24
