year,Nicanor
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,7
1917,0
1918,6
1919,0
1920,5
1921,6
1922,0
1923,0
1924,6
1925,7
1926,5
1927,6
1928,0
1929,6
1930,0
1931,7
1932,0
1933,7
1934,5
1935,0
1936,8
1937,0
1938,6
1939,0
1940,0
1941,8
1942,0
1943,5
1944,7
1945,0
1946,5
1947,5
1948,10
1949,8
1950,5
1951,6
1952,8
1953,5
1954,13
1955,7
1956,0
1957,8
1958,0
1959,5
1960,13
1961,5
1962,9
1963,6
1964,6
1965,6
1966,6
1967,7
1968,8
1969,7
1970,7
1971,9
1972,12
1973,6
1974,14
1975,11
1976,7
1977,12
1978,8
1979,8
1980,12
1981,19
1982,20
1983,5
1984,12
1985,9
1986,11
1987,6
1988,10
1989,13
1990,6
1991,14
1992,13
1993,17
1994,9
1995,12
1996,6
1997,12
1998,9
1999,12
2000,12
2001,12
2002,16
2003,6
2004,11
2005,14
2006,12
2007,9
2008,10
2009,9
2010,8
2011,8
2012,0
