year,Nathanel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,0
1919,6
1920,13
1921,0
1922,12
1923,10
1924,11
1925,8
1926,5
1927,13
1928,6
1929,13
1930,7
1931,10
1932,11
1933,0
1934,7
1935,8
1936,7
1937,0
1938,6
1939,8
1940,0
1941,6
1942,8
1943,7
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,0
1953,0
1954,5
1955,5
1956,0
1957,0
1958,0
1959,0
1960,0
1961,6
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,5
1974,0
1975,7
1976,8
1977,8
1978,8
1979,11
1980,8
1981,7
1982,14
1983,0
1984,17
1985,13
1986,8
1987,17
1988,19
1989,12
1990,15
1991,8
1992,9
1993,16
1994,11
1995,11
1996,20
1997,18
1998,25
1999,17
2000,14
2001,22
2002,39
2003,28
2004,20
2005,19
2006,25
2007,20
2008,30
2009,24
2010,18
2011,17
2012,12
