year,Yetta
1880,7
1881,0
1882,0
1883,0
1884,5
1885,7
1886,7
1887,7
1888,9
1889,7
1890,15
1891,11
1892,10
1893,12
1894,14
1895,18
1896,26
1897,33
1898,46
1899,42
1900,30
1901,29
1902,29
1903,31
1904,37
1905,40
1906,44
1907,44
1908,70
1909,59
1910,78
1911,67
1912,108
1913,149
1914,149
1915,193
1916,197
1917,186
1918,182
1919,193
1920,134
1921,129
1922,140
1923,97
1924,105
1925,75
1926,75
1927,60
1928,54
1929,50
1930,39
1931,30
1932,22
1933,24
1934,15
1935,9
1936,10
1937,12
1938,8
1939,11
1940,13
1941,9
1942,12
1943,0
1944,8
1945,0
1946,8
1947,8
1948,5
1949,0
1950,13
1951,18
1952,10
1953,10
1954,13
1955,14
1956,7
1957,14
1958,9
1959,20
1960,12
1961,11
1962,17
1963,12
1964,12
1965,13
1966,8
1967,10
1968,11
1969,10
1970,11
1971,11
1972,13
1973,10
1974,10
1975,15
1976,14
1977,8
1978,9
1979,11
1980,15
1981,10
1982,5
1983,8
1984,5
1985,9
1986,0
1987,0
1988,5
1989,5
1990,6
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,6
2010,0
2011,0
2012,0
