year,Yolande
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,5
1910,5
1911,7
1912,16
1913,13
1914,17
1915,15
1916,27
1917,17
1918,34
1919,27
1920,29
1921,29
1922,28
1923,24
1924,26
1925,34
1926,24
1927,34
1928,26
1929,34
1930,24
1931,23
1932,14
1933,30
1934,24
1935,16
1936,14
1937,16
1938,12
1939,15
1940,13
1941,10
1942,13
1943,9
1944,12
1945,14
1946,12
1947,12
1948,15
1949,22
1950,26
1951,20
1952,38
1953,28
1954,32
1955,17
1956,25
1957,21
1958,26
1959,29
1960,24
1961,29
1962,30
1963,27
1964,21
1965,24
1966,23
1967,25
1968,36
1969,26
1970,40
1971,26
1972,23
1973,24
1974,25
1975,18
1976,16
1977,15
1978,16
1979,14
1980,11
1981,15
1982,7
1983,9
1984,5
1985,0
1986,5
1987,0
1988,0
1989,6
1990,0
1991,0
1992,0
1993,5
1994,5
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
