year,Yolanda (F),Yolanda (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000013,0.000000
1901,0.000026,0.000000
1902,0.000028,0.000000
1903,0.000034,0.000000
1904,0.000025,0.000000
1905,0.000059,0.000000
1906,0.000037,0.000000
1907,0.000047,0.000000
1908,0.000072,0.000000
1909,0.000065,0.000000
1910,0.000066,0.000000
1911,0.000098,0.000000
1912,0.000085,0.000000
1913,0.000095,0.000000
1914,0.000121,0.000000
1915,0.000137,0.000000
1916,0.000151,0.000000
1917,0.000168,0.000000
1918,0.000141,0.000000
1919,0.000154,0.000000
1920,0.000142,0.000000
1921,0.000152,0.000000
1922,0.000197,0.000000
1923,0.000261,0.000000
1924,0.000241,0.000000
1925,0.000232,0.000000
1926,0.000196,0.000000
1927,0.000163,0.000000
1928,0.000181,0.000000
1929,0.000159,0.000000
1930,0.000158,0.000000
1931,0.000154,0.000000
1932,0.000124,0.000000
1933,0.000110,0.000000
1934,0.000115,0.000000
1935,0.000120,0.000000
1936,0.000141,0.000000
1937,0.000159,0.000000
1938,0.000150,0.000000
1939,0.000143,0.000000
1940,0.000153,0.000000
1941,0.000151,0.000000
1942,0.000161,0.000000
1943,0.000168,0.000002
1944,0.000209,0.000000
1945,0.000291,0.000002
1946,0.000376,0.000002
1947,0.000383,0.000002
1948,0.000394,0.000002
1949,0.000405,0.000005
1950,0.000447,0.000002
1951,0.000445,0.000000
1952,0.000468,0.000003
1953,0.000469,0.000002
1954,0.000493,0.000002
1955,0.000512,0.000003
1956,0.000551,0.000002
1957,0.000555,0.000003
1958,0.000546,0.000004
1959,0.000547,0.000003
1960,0.000561,0.000004
1961,0.000607,0.000002
1962,0.000608,0.000003
1963,0.000652,0.000003
1964,0.000710,0.000003
1965,0.000761,0.000003
1966,0.000797,0.000001
1967,0.000824,0.000004
1968,0.001092,0.000007
1969,0.001086,0.000003
1970,0.000995,0.000006
1971,0.001085,0.000006
1972,0.001081,0.000005
1973,0.000913,0.000007
1974,0.000865,0.000003
1975,0.000879,0.000006
1976,0.000749,0.000004
1977,0.000667,0.000005
1978,0.000615,0.000003
1979,0.000582,0.000003
1980,0.000516,0.000005
1981,0.000452,0.000004
1982,0.000410,0.000003
1983,0.000349,0.000002
1984,0.000307,0.000002
1985,0.000292,0.000003
1986,0.000248,0.000004
1987,0.000249,0.000003
1988,0.000216,0.000002
1989,0.000186,0.000002
1990,0.000169,0.000002
1991,0.000156,0.000000
1992,0.000155,0.000000
1993,0.000153,0.000000
1994,0.000125,0.000000
1995,0.000114,0.000000
1996,0.000104,0.000000
1997,0.000098,0.000000
1998,0.000078,0.000000
1999,0.000074,0.000000
2000,0.000078,0.000000
2001,0.000066,0.000000
2002,0.000061,0.000000
2003,0.000059,0.000000
2004,0.000055,0.000000
2005,0.000055,0.000000
2006,0.000059,0.000000
2007,0.000050,0.000000
2008,0.000044,0.000000
2009,0.000043,0.000000
2010,0.000036,0.000000
2011,0.000033,0.000000
2012,0.000037,0.000000
