year,Yale
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,10
1913,15
1914,20
1915,16
1916,28
1917,23
1918,18
1919,13
1920,19
1921,27
1922,22
1923,26
1924,15
1925,15
1926,19
1927,23
1928,22
1929,29
1930,20
1931,15
1932,15
1933,10
1934,10
1935,15
1936,16
1937,9
1938,11
1939,17
1940,15
1941,16
1942,20
1943,16
1944,10
1945,16
1946,9
1947,9
1948,18
1949,10
1950,11
1951,23
1952,19
1953,12
1954,10
1955,11
1956,11
1957,12
1958,9
1959,11
1960,16
1961,15
1962,22
1963,15
1964,15
1965,12
1966,18
1967,17
1968,14
1969,20
1970,18
1971,12
1972,11
1973,11
1974,5
1975,6
1976,12
1977,5
1978,7
1979,12
1980,9
1981,13
1982,16
1983,17
1984,8
1985,8
1986,5
1987,11
1988,11
1989,17
1990,11
1991,17
1992,13
1993,22
1994,6
1995,14
1996,13
1997,11
1998,7
1999,6
2000,11
2001,6
2002,6
2003,5
2004,6
2005,9
2006,5
2007,13
2008,7
2009,8
2010,6
2011,0
2012,9
