year,Yuriko
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,14
1916,8
1917,10
1918,12
1919,9
1920,34
1921,23
1922,35
1923,42
1924,26
1925,24
1926,14
1927,24
1928,20
1929,16
1930,12
1931,12
1932,20
1933,11
1934,9
1935,15
1936,6
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,7
1978,0
1979,6
1980,6
1981,0
1982,0
1983,5
1984,0
1985,7
1986,0
1987,7
1988,41
1989,27
1990,11
1991,22
1992,14
1993,11
1994,10
1995,13
1996,8
1997,14
1998,15
1999,0
2000,9
2001,6
2002,10
2003,7
2004,6
2005,11
2006,6
2007,8
2008,7
2009,5
2010,9
2011,12
2012,0
