year,Ysidro
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,0
1908,0
1909,0
1910,0
1911,8
1912,9
1913,9
1914,15
1915,14
1916,6
1917,16
1918,14
1919,10
1920,16
1921,23
1922,36
1923,20
1924,25
1925,25
1926,11
1927,13
1928,16
1929,33
1930,16
1931,14
1932,15
1933,24
1934,16
1935,17
1936,12
1937,15
1938,12
1939,16
1940,17
1941,22
1942,17
1943,20
1944,19
1945,18
1946,19
1947,17
1948,16
1949,11
1950,12
1951,15
1952,17
1953,22
1954,10
1955,10
1956,17
1957,17
1958,12
1959,20
1960,11
1961,15
1962,16
1963,16
1964,15
1965,15
1966,14
1967,18
1968,15
1969,12
1970,7
1971,14
1972,12
1973,12
1974,12
1975,17
1976,20
1977,16
1978,5
1979,12
1980,15
1981,10
1982,15
1983,9
1984,13
1985,8
1986,11
1987,12
1988,10
1989,0
1990,12
1991,10
1992,16
1993,12
1994,12
1995,13
1996,6
1997,11
1998,12
1999,10
2000,11
2001,7
2002,0
2003,6
2004,9
2005,7
2006,7
2007,6
2008,6
2009,6
2010,8
2011,0
2012,10
