year,Yvonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,8
1925,10
1926,10
1927,10
1928,0
1929,6
1930,9
1931,8
1932,10
1933,5
1934,18
1935,21
1936,15
1937,16
1938,17
1939,16
1940,14
1941,15
1942,10
1943,10
1944,6
1945,8
1946,15
1947,11
1948,17
1949,14
1950,17
1951,16
1952,20
1953,22
1954,27
1955,20
1956,19
1957,16
1958,19
1959,26
1960,20
1961,19
1962,16
1963,24
1964,20
1965,19
1966,19
1967,16
1968,24
1969,21
1970,8
1971,23
1972,9
1973,21
1974,8
1975,9
1976,0
1977,11
1978,10
1979,12
1980,15
1981,13
1982,5
1983,0
1984,0
1985,10
1986,0
1987,10
1988,6
1989,10
1990,18
1991,12
1992,15
1993,14
1994,13
1995,18
1996,15
1997,12
1998,14
1999,15
2000,8
2001,9
2002,6
2003,6
2004,10
2005,6
2006,6
2007,9
2008,6
2009,10
2010,0
2011,7
2012,0
