year,Yoshiko
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,7
1907,0
1908,5
1909,7
1910,10
1911,5
1912,9
1913,27
1914,27
1915,39
1916,44
1917,59
1918,57
1919,67
1920,82
1921,85
1922,80
1923,64
1924,64
1925,63
1926,68
1927,45
1928,37
1929,35
1930,33
1931,14
1932,21
1933,15
1934,18
1935,16
1936,13
1937,11
1938,11
1939,8
1940,5
1941,6
1942,0
1943,0
1944,11
1945,5
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,6
1970,8
1971,0
1972,5
1973,5
1974,5
1975,8
1976,5
1977,7
1978,6
1979,0
1980,5
1981,8
1982,0
1983,5
1984,9
1985,12
1986,6
1987,7
1988,5
1989,0
1990,9
1991,16
1992,7
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
