year,Yevonne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,5
1935,6
1936,5
1937,0
1938,5
1939,6
1940,5
1941,5
1942,6
1943,0
1944,8
1945,6
1946,7
1947,5
1948,7
1949,13
1950,11
1951,5
1952,8
1953,5
1954,0
1955,8
1956,10
1957,9
1958,9
1959,5
1960,6
1961,10
1962,10
1963,10
1964,13
1965,7
1966,9
1967,7
1968,9
1969,6
1970,5
1971,7
1972,7
1973,8
1974,0
1975,0
1976,0
1977,0
1978,0
1979,8
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
