year,Yvonnie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,5
1935,11
1936,23
1937,15
1938,13
1939,12
1940,16
1941,6
1942,13
1943,13
1944,14
1945,7
1946,7
1947,9
1948,6
1949,7
1950,8
1951,14
1952,12
1953,10
1954,17
1955,16
1956,14
1957,23
1958,14
1959,18
1960,7
1961,16
1962,22
1963,10
1964,19
1965,10
1966,10
1967,15
1968,6
1969,7
1970,5
1971,9
1972,0
1973,9
1974,8
1975,7
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
