year,Yaakov
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,5
1951,0
1952,6
1953,8
1954,9
1955,7
1956,0
1957,6
1958,9
1959,8
1960,5
1961,9
1962,0
1963,5
1964,5
1965,6
1966,10
1967,13
1968,12
1969,20
1970,19
1971,21
1972,20
1973,27
1974,23
1975,23
1976,28
1977,36
1978,26
1979,37
1980,40
1981,47
1982,34
1983,38
1984,55
1985,57
1986,114
1987,94
1988,70
1989,75
1990,62
1991,80
1992,70
1993,57
1994,78
1995,78
1996,61
1997,94
1998,66
1999,106
2000,91
2001,104
2002,107
2003,112
2004,110
2005,120
2006,135
2007,137
2008,123
2009,131
2010,181
2011,151
2012,155
