year,Will (F),Will (M)
1880,0.000000,0.002918
1881,0.000036,0.002854
1882,0.000032,0.003006
1883,0.000023,0.002655
1884,0.000000,0.002670
1885,0.000021,0.002595
1886,0.000024,0.002515
1887,0.000036,0.002268
1888,0.000017,0.002361
1889,0.000021,0.002184
1890,0.000000,0.002034
1891,0.000017,0.001814
1892,0.000021,0.001815
1893,0.000000,0.001654
1894,0.000000,0.001650
1895,0.000017,0.001382
1896,0.000000,0.001421
1897,0.000020,0.001415
1898,0.000021,0.001245
1899,0.000000,0.001220
1900,0.000027,0.001339
1901,0.000020,0.001053
1902,0.000021,0.000928
1903,0.000000,0.000769
1904,0.000017,0.000711
1905,0.000021,0.000675
1906,0.000016,0.000590
1907,0.000000,0.000559
1908,0.000025,0.000561
1909,0.000016,0.000522
1910,0.000020,0.000471
1911,0.000008,0.000357
1912,0.000008,0.000259
1913,0.000010,0.000246
1914,0.000015,0.000225
1915,0.000010,0.000198
1916,0.000008,0.000187
1917,0.000010,0.000169
1918,0.000010,0.000167
1919,0.000011,0.000177
1920,0.000006,0.000163
1921,0.000008,0.000160
1922,0.000010,0.000156
1923,0.000007,0.000161
1924,0.000004,0.000149
1925,0.000008,0.000157
1926,0.000010,0.000145
1927,0.000006,0.000129
1928,0.000008,0.000143
1929,0.000006,0.000126
1930,0.000005,0.000116
1931,0.000005,0.000113
1932,0.000005,0.000115
1933,0.000005,0.000112
1934,0.000005,0.000104
1935,0.000003,0.000146
1936,0.000006,0.000113
1937,0.000007,0.000107
1938,0.000005,0.000104
1939,0.000004,0.000103
1940,0.000002,0.000091
1941,0.000002,0.000093
1942,0.000003,0.000081
1943,0.000003,0.000073
1944,0.000002,0.000087
1945,0.000000,0.000072
1946,0.000000,0.000065
1947,0.000002,0.000058
1948,0.000000,0.000069
1949,0.000000,0.000063
1950,0.000002,0.000064
1951,0.000002,0.000052
1952,0.000000,0.000056
1953,0.000000,0.000054
1954,0.000002,0.000052
1955,0.000000,0.000039
1956,0.000000,0.000047
1957,0.000001,0.000052
1958,0.000000,0.000044
1959,0.000000,0.000049
1960,0.000000,0.000054
1961,0.000000,0.000054
1962,0.000000,0.000050
1963,0.000000,0.000061
1964,0.000000,0.000061
1965,0.000000,0.000054
1966,0.000000,0.000059
1967,0.000000,0.000049
1968,0.000000,0.000063
1969,0.000000,0.000055
1970,0.000000,0.000064
1971,0.000000,0.000061
1972,0.000000,0.000059
1973,0.000000,0.000069
1974,0.000000,0.000074
1975,0.000000,0.000074
1976,0.000000,0.000073
1977,0.000000,0.000071
1978,0.000002,0.000073
1979,0.000000,0.000082
1980,0.000000,0.000079
1981,0.000000,0.000067
1982,0.000000,0.000075
1983,0.000000,0.000064
1984,0.000000,0.000059
1985,0.000000,0.000056
1986,0.000000,0.000057
1987,0.000000,0.000065
1988,0.000000,0.000065
1989,0.000000,0.000072
1990,0.000000,0.000073
1991,0.000000,0.000076
1992,0.000000,0.000066
1993,0.000000,0.000071
1994,0.000000,0.000067
1995,0.000000,0.000073
1996,0.000000,0.000077
1997,0.000000,0.000074
1998,0.000000,0.000092
1999,0.000000,0.000114
2000,0.000000,0.000118
2001,0.000000,0.000104
2002,0.000000,0.000108
2003,0.000000,0.000114
2004,0.000000,0.000118
2005,0.000000,0.000131
2006,0.000000,0.000120
2007,0.000000,0.000114
2008,0.000000,0.000110
2009,0.000000,0.000120
2010,0.000000,0.000107
2011,0.000000,0.000098
2012,0.000000,0.000096
2013,0.000000,0.000087
2014,0.000000,0.000085
2015,0.000000,0.000073
2016,0.000000,0.000076
2017,0.000000,0.000067
2018,0.000000,0.000069
2019,0.000000,0.000063
2020,0.000000,0.000070
