year,Woodrow (F),Woodrow (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000018
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000016
1907,0.000000,0.000024
1908,0.000000,0.000035
1909,0.000000,0.000047
1910,0.000000,0.000076
1911,0.000000,0.000188
1912,0.000011,0.001865
1913,0.000009,0.002052
1914,0.000004,0.001260
1915,0.000004,0.001073
1916,0.000006,0.001379
1917,0.000005,0.001210
1918,0.000006,0.001547
1919,0.000007,0.000857
1920,0.000002,0.000342
1921,0.000003,0.000293
1922,0.000004,0.000272
1923,0.000000,0.000210
1924,0.000002,0.000217
1925,0.000000,0.000161
1926,0.000000,0.000133
1927,0.000002,0.000146
1928,0.000000,0.000102
1929,0.000000,0.000097
1930,0.000000,0.000095
1931,0.000003,0.000112
1932,0.000002,0.000139
1933,0.000000,0.000111
1934,0.000000,0.000104
1935,0.000000,0.000130
1936,0.000000,0.000137
1937,0.000000,0.000167
1938,0.000000,0.000183
1939,0.000000,0.000193
1940,0.000002,0.000193
1941,0.000000,0.000197
1942,0.000000,0.000175
1943,0.000000,0.000198
1944,0.000000,0.000194
1945,0.000000,0.000190
1946,0.000000,0.000147
1947,0.000000,0.000135
1948,0.000000,0.000124
1949,0.000000,0.000111
1950,0.000000,0.000095
1951,0.000000,0.000098
1952,0.000000,0.000093
1953,0.000000,0.000079
1954,0.000000,0.000077
1955,0.000000,0.000070
1956,0.000000,0.000057
1957,0.000000,0.000057
1958,0.000001,0.000052
1959,0.000000,0.000043
1960,0.000000,0.000050
1961,0.000000,0.000052
1962,0.000000,0.000050
1963,0.000000,0.000048
1964,0.000000,0.000050
1965,0.000000,0.000046
1966,0.000000,0.000043
1967,0.000000,0.000045
1968,0.000000,0.000044
1969,0.000000,0.000045
1970,0.000000,0.000041
1971,0.000000,0.000042
1972,0.000000,0.000043
1973,0.000000,0.000040
1974,0.000000,0.000032
1975,0.000000,0.000033
1976,0.000000,0.000035
1977,0.000000,0.000034
1978,0.000000,0.000030
1979,0.000000,0.000029
1980,0.000000,0.000027
1981,0.000000,0.000024
1982,0.000000,0.000025
1983,0.000000,0.000025
1984,0.000000,0.000018
1985,0.000000,0.000018
1986,0.000000,0.000022
1987,0.000000,0.000014
1988,0.000000,0.000017
1989,0.000000,0.000019
1990,0.000000,0.000017
1991,0.000000,0.000018
1992,0.000000,0.000018
1993,0.000000,0.000016
1994,0.000000,0.000013
1995,0.000000,0.000011
1996,0.000000,0.000015
1997,0.000000,0.000018
1998,0.000000,0.000011
1999,0.000000,0.000011
2000,0.000000,0.000006
2001,0.000000,0.000006
2002,0.000000,0.000009
2003,0.000000,0.000009
2004,0.000000,0.000008
2005,0.000000,0.000008
2006,0.000000,0.000005
2007,0.000000,0.000007
2008,0.000000,0.000008
2009,0.000000,0.000008
2010,0.000000,0.000012
2011,0.000000,0.000011
2012,0.000000,0.000010
2013,0.000000,0.000009
2014,0.000000,0.000015
2015,0.000000,0.000016
2016,0.000000,0.000021
2017,0.000000,0.000020
2018,0.000000,0.000023
2019,0.000000,0.000022
2020,0.000000,0.000028
