year,Willma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,7
1903,0
1904,0
1905,0
1906,6
1907,0
1908,7
1909,0
1910,5
1911,5
1912,12
1913,8
1914,9
1915,17
1916,17
1917,18
1918,27
1919,22
1920,15
1921,15
1922,17
1923,16
1924,25
1925,9
1926,12
1927,20
1928,13
1929,9
1930,17
1931,22
1932,13
1933,24
1934,18
1935,11
1936,11
1937,20
1938,13
1939,16
1940,13
1941,9
1942,12
1943,13
1944,7
1945,7
1946,10
1947,10
1948,9
1949,15
1950,12
1951,12
1952,7
1953,7
1954,9
1955,5
1956,5
1957,0
1958,7
1959,5
1960,0
1961,5
1962,7
1963,0
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
