year,Wilbur (F),Wilbur (M)
1880,0.000000,0.000407
1881,0.000000,0.000420
1882,0.000000,0.000366
1883,0.000000,0.000336
1884,0.000000,0.000337
1885,0.000000,0.000382
1886,0.000000,0.000415
1887,0.000000,0.000453
1888,0.000000,0.000344
1889,0.000000,0.000353
1890,0.000000,0.000312
1891,0.000000,0.000338
1892,0.000000,0.000347
1893,0.000000,0.000320
1894,0.000000,0.000307
1895,0.000000,0.000356
1896,0.000000,0.000336
1897,0.000000,0.000320
1898,0.000000,0.000409
1899,0.000000,0.000339
1900,0.000000,0.000358
1901,0.000000,0.000376
1902,0.000000,0.000421
1903,0.000000,0.000433
1904,0.000000,0.000439
1905,0.000000,0.000394
1906,0.000000,0.000408
1907,0.000000,0.000449
1908,0.000000,0.000477
1909,0.000000,0.000507
1910,0.000000,0.000504
1911,0.000000,0.000599
1912,0.000007,0.000842
1913,0.000004,0.000918
1914,0.000006,0.000881
1915,0.000000,0.000920
1916,0.000004,0.000868
1917,0.000005,0.000872
1918,0.000004,0.000829
1919,0.000008,0.000800
1920,0.000006,0.000769
1921,0.000005,0.000752
1922,0.000007,0.000750
1923,0.000004,0.000726
1924,0.000004,0.000700
1925,0.000005,0.000684
1926,0.000007,0.000658
1927,0.000006,0.000587
1928,0.000004,0.000620
1929,0.000003,0.000590
1930,0.000004,0.000546
1931,0.000004,0.000517
1932,0.000002,0.000481
1933,0.000005,0.000448
1934,0.000003,0.000443
1935,0.000004,0.000412
1936,0.000005,0.000375
1937,0.000004,0.000341
1938,0.000000,0.000381
1939,0.000000,0.000319
1940,0.000003,0.000306
1941,0.000000,0.000274
1942,0.000000,0.000251
1943,0.000002,0.000236
1944,0.000002,0.000218
1945,0.000002,0.000191
1946,0.000000,0.000164
1947,0.000000,0.000165
1948,0.000000,0.000156
1949,0.000000,0.000140
1950,0.000000,0.000140
1951,0.000000,0.000118
1952,0.000000,0.000110
1953,0.000001,0.000113
1954,0.000002,0.000108
1955,0.000000,0.000108
1956,0.000000,0.000098
1957,0.000000,0.000091
1958,0.000000,0.000085
1959,0.000001,0.000085
1960,0.000000,0.000086
1961,0.000000,0.000075
1962,0.000000,0.000077
1963,0.000000,0.000068
1964,0.000000,0.000071
1965,0.000000,0.000070
1966,0.000000,0.000068
1967,0.000000,0.000052
1968,0.000000,0.000053
1969,0.000000,0.000059
1970,0.000000,0.000041
1971,0.000000,0.000056
1972,0.000000,0.000042
1973,0.000000,0.000042
1974,0.000000,0.000041
1975,0.000000,0.000040
1976,0.000000,0.000035
1977,0.000000,0.000034
1978,0.000000,0.000035
1979,0.000000,0.000032
1980,0.000000,0.000028
1981,0.000000,0.000030
1982,0.000000,0.000028
1983,0.000000,0.000021
1984,0.000000,0.000021
1985,0.000000,0.000022
1986,0.000000,0.000018
1987,0.000000,0.000017
1988,0.000000,0.000019
1989,0.000000,0.000016
1990,0.000000,0.000013
1991,0.000000,0.000015
1992,0.000000,0.000014
1993,0.000000,0.000010
1994,0.000000,0.000011
1995,0.000000,0.000011
1996,0.000000,0.000010
1997,0.000000,0.000010
1998,0.000000,0.000011
1999,0.000000,0.000008
2000,0.000000,0.000008
2001,0.000000,0.000007
2002,0.000000,0.000007
2003,0.000000,0.000008
2004,0.000000,0.000007
2005,0.000000,0.000005
2006,0.000000,0.000006
2007,0.000000,0.000007
2008,0.000000,0.000006
2009,0.000000,0.000006
2010,0.000000,0.000006
2011,0.000000,0.000006
2012,0.000000,0.000004
2013,0.000000,0.000006
2014,0.000000,0.000006
2015,0.000000,0.000008
2016,0.000000,0.000007
2017,0.000000,0.000008
2018,0.000000,0.000008
2019,0.000000,0.000011
2020,0.000000,0.000006
