year,Willard (F),Willard (M)
1880,0.000000,0.000437
1881,0.000000,0.000488
1882,0.000000,0.000375
1883,0.000000,0.000424
1884,0.000000,0.000366
1885,0.000000,0.000394
1886,0.000000,0.000313
1887,0.000000,0.000384
1888,0.000000,0.000411
1889,0.000000,0.000346
1890,0.000000,0.000295
1891,0.000000,0.000352
1892,0.000000,0.000362
1893,0.000000,0.000363
1894,0.000000,0.000360
1895,0.000000,0.000322
1896,0.000000,0.000425
1897,0.000000,0.000412
1898,0.000013,0.000359
1899,0.000021,0.000424
1900,0.000020,0.000382
1901,0.000000,0.000393
1902,0.000000,0.000424
1903,0.000021,0.000425
1904,0.000020,0.000446
1905,0.000033,0.000425
1906,0.000026,0.000415
1907,0.000013,0.000432
1908,0.000018,0.000469
1909,0.000025,0.000428
1910,0.000017,0.000449
1911,0.000023,0.000525
1912,0.000019,0.000727
1913,0.000018,0.000814
1914,0.000020,0.000919
1915,0.000019,0.001577
1916,0.000017,0.001247
1917,0.000020,0.001090
1918,0.000020,0.001064
1919,0.000016,0.000954
1920,0.000014,0.000923
1921,0.000012,0.000890
1922,0.000010,0.000881
1923,0.000010,0.000845
1924,0.000011,0.000770
1925,0.000012,0.000769
1926,0.000011,0.000788
1927,0.000013,0.000748
1928,0.000006,0.000720
1929,0.000010,0.000690
1930,0.000009,0.000690
1931,0.000012,0.000655
1932,0.000006,0.000642
1933,0.000009,0.000642
1934,0.000005,0.000565
1935,0.000006,0.000581
1936,0.000005,0.000557
1937,0.000007,0.000546
1938,0.000005,0.000494
1939,0.000004,0.000501
1940,0.000004,0.000495
1941,0.000004,0.000445
1942,0.000004,0.000436
1943,0.000002,0.000436
1944,0.000003,0.000386
1945,0.000002,0.000361
1946,0.000000,0.000331
1947,0.000002,0.000285
1948,0.000000,0.000275
1949,0.000002,0.000266
1950,0.000001,0.000240
1951,0.000000,0.000211
1952,0.000002,0.000210
1953,0.000002,0.000199
1954,0.000002,0.000170
1955,0.000000,0.000180
1956,0.000001,0.000158
1957,0.000000,0.000152
1958,0.000000,0.000141
1959,0.000000,0.000138
1960,0.000001,0.000130
1961,0.000001,0.000122
1962,0.000000,0.000114
1963,0.000000,0.000125
1964,0.000000,0.000113
1965,0.000000,0.000114
1966,0.000000,0.000112
1967,0.000002,0.000116
1968,0.000001,0.000100
1969,0.000001,0.000089
1970,0.000000,0.000097
1971,0.000000,0.000089
1972,0.000000,0.000091
1973,0.000000,0.000073
1974,0.000000,0.000065
1975,0.000000,0.000076
1976,0.000000,0.000058
1977,0.000000,0.000054
1978,0.000000,0.000049
1979,0.000000,0.000051
1980,0.000000,0.000048
1981,0.000000,0.000039
1982,0.000000,0.000037
1983,0.000000,0.000037
1984,0.000000,0.000030
1985,0.000000,0.000029
1986,0.000000,0.000031
1987,0.000000,0.000032
1988,0.000000,0.000027
1989,0.000000,0.000029
1990,0.000000,0.000023
1991,0.000000,0.000021
1992,0.000000,0.000023
1993,0.000000,0.000020
1994,0.000000,0.000019
1995,0.000000,0.000023
1996,0.000000,0.000018
1997,0.000000,0.000018
1998,0.000000,0.000017
1999,0.000000,0.000016
2000,0.000000,0.000016
2001,0.000000,0.000016
2002,0.000000,0.000017
2003,0.000000,0.000016
2004,0.000000,0.000016
2005,0.000000,0.000016
2006,0.000000,0.000014
2007,0.000000,0.000012
2008,0.000000,0.000015
2009,0.000000,0.000010
2010,0.000000,0.000013
2011,0.000000,0.000010
2012,0.000000,0.000013
2013,0.000000,0.000009
2014,0.000000,0.000009
2015,0.000000,0.000012
2016,0.000000,0.000013
2017,0.000000,0.000015
2018,0.000000,0.000014
2019,0.000000,0.000013
2020,0.000000,0.000013
