year,Wylma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,7
1902,5
1903,7
1904,0
1905,0
1906,0
1907,7
1908,0
1909,8
1910,7
1911,10
1912,11
1913,12
1914,25
1915,21
1916,21
1917,31
1918,17
1919,13
1920,33
1921,21
1922,18
1923,25
1924,18
1925,18
1926,15
1927,13
1928,20
1929,9
1930,8
1931,8
1932,11
1933,14
1934,8
1935,9
1936,5
1937,7
1938,10
1939,0
1940,9
1941,10
1942,6
1943,0
1944,0
1945,6
1946,8
1947,6
1948,6
1949,0
1950,0
1951,0
1952,7
1953,6
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
