year,Wenda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,7
1936,6
1937,9
1938,15
1939,12
1940,12
1941,22
1942,15
1943,9
1944,8
1945,10
1946,15
1947,26
1948,31
1949,35
1950,33
1951,34
1952,34
1953,28
1954,38
1955,32
1956,43
1957,42
1958,27
1959,32
1960,36
1961,39
1962,35
1963,34
1964,39
1965,28
1966,33
1967,19
1968,25
1969,21
1970,23
1971,13
1972,12
1973,11
1974,12
1975,12
1976,5
1977,0
1978,7
1979,5
1980,6
1981,5
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
