year,Wanetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,10
1912,0
1913,14
1914,13
1915,15
1916,20
1917,31
1918,25
1919,24
1920,20
1921,37
1922,38
1923,25
1924,31
1925,25
1926,32
1927,28
1928,19
1929,14
1930,20
1931,28
1932,20
1933,23
1934,17
1935,17
1936,26
1937,15
1938,19
1939,17
1940,13
1941,15
1942,13
1943,17
1944,17
1945,11
1946,8
1947,10
1948,17
1949,15
1950,9
1951,10
1952,17
1953,26
1954,11
1955,13
1956,15
1957,15
1958,12
1959,14
1960,10
1961,12
1962,13
1963,12
1964,7
1965,12
1966,0
1967,10
1968,14
1969,17
1970,13
1971,9
1972,11
1973,9
1974,6
1975,8
1976,6
1977,8
1978,8
1979,8
1980,7
1981,0
1982,7
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
