year,West
1880,13
1881,15
1882,11
1883,11
1884,19
1885,10
1886,21
1887,9
1888,12
1889,7
1890,13
1891,12
1892,12
1893,11
1894,9
1895,11
1896,11
1897,8
1898,16
1899,8
1900,13
1901,11
1902,12
1903,9
1904,13
1905,13
1906,9
1907,12
1908,8
1909,12
1910,19
1911,14
1912,20
1913,28
1914,19
1915,21
1916,23
1917,21
1918,29
1919,30
1920,29
1921,26
1922,27
1923,15
1924,28
1925,29
1926,26
1927,36
1928,21
1929,17
1930,18
1931,17
1932,18
1933,17
1934,17
1935,16
1936,18
1937,7
1938,18
1939,18
1940,11
1941,15
1942,16
1943,16
1944,14
1945,22
1946,13
1947,15
1948,12
1949,19
1950,15
1951,18
1952,21
1953,19
1954,12
1955,16
1956,18
1957,17
1958,19
1959,16
1960,14
1961,17
1962,15
1963,10
1964,18
1965,15
1966,15
1967,11
1968,19
1969,17
1970,24
1971,19
1972,16
1973,11
1974,15
1975,7
1976,15
1977,18
1978,12
1979,10
1980,16
1981,24
1982,18
1983,18
1984,15
1985,22
1986,13
1987,12
1988,11
1989,17
1990,17
1991,18
1992,10
1993,20
1994,23
1995,14
1996,22
1997,13
1998,14
1999,22
2000,17
2001,28
2002,10
2003,18
2004,29
2005,25
2006,42
2007,40
2008,42
2009,60
2010,52
2011,61
2012,73
