year,Winifred (F),Winifred (M)
1880,0.000457,0.000000
1881,0.000420,0.000000
1882,0.000375,0.000023
1883,0.000576,0.000000
1884,0.000600,0.000000
1885,0.000498,0.000000
1886,0.000572,0.000000
1887,0.000622,0.000000
1888,0.000588,0.000000
1889,0.000644,0.000000
1890,0.000677,0.000000
1891,0.000820,0.000000
1892,0.000637,0.000000
1893,0.000713,0.000000
1894,0.000638,0.000000
1895,0.000667,0.000000
1896,0.000593,0.000000
1897,0.000625,0.000000
1898,0.000758,0.000000
1899,0.000710,0.000000
1900,0.000671,0.000011
1901,0.000671,0.000000
1902,0.000584,0.000000
1903,0.000714,0.000018
1904,0.000625,0.000000
1905,0.000651,0.000012
1906,0.000670,0.000012
1907,0.000567,0.000000
1908,0.000575,0.000000
1909,0.000581,0.000012
1910,0.000626,0.000000
1911,0.000719,0.000011
1912,0.000670,0.000010
1913,0.000652,0.000016
1914,0.000638,0.000011
1915,0.000709,0.000012
1916,0.000706,0.000014
1917,0.000760,0.000014
1918,0.000734,0.000022
1919,0.000631,0.000015
1920,0.000633,0.000018
1921,0.000607,0.000015
1922,0.000623,0.000015
1923,0.000617,0.000013
1924,0.000533,0.000014
1925,0.000523,0.000014
1926,0.000484,0.000014
1927,0.000437,0.000011
1928,0.000422,0.000012
1929,0.000372,0.000014
1930,0.000314,0.000009
1931,0.000319,0.000011
1932,0.000271,0.000011
1933,0.000278,0.000012
1934,0.000246,0.000008
1935,0.000235,0.000011
1936,0.000222,0.000011
1937,0.000208,0.000008
1938,0.000213,0.000007
1939,0.000189,0.000007
1940,0.000167,0.000007
1941,0.000166,0.000003
1942,0.000167,0.000008
1943,0.000155,0.000007
1944,0.000116,0.000004
1945,0.000120,0.000006
1946,0.000116,0.000003
1947,0.000104,0.000003
1948,0.000088,0.000003
1949,0.000104,0.000002
1950,0.000085,0.000004
1951,0.000080,0.000003
1952,0.000073,0.000003
1953,0.000068,0.000003
1954,0.000056,0.000003
1955,0.000066,0.000003
1956,0.000062,0.000004
1957,0.000051,0.000002
1958,0.000054,0.000003
1959,0.000046,0.000003
1960,0.000039,0.000002
1961,0.000038,0.000003
1962,0.000042,0.000004
1963,0.000041,0.000002
1964,0.000034,0.000002
1965,0.000030,0.000002
1966,0.000028,0.000001
1967,0.000030,0.000003
1968,0.000025,0.000000
1969,0.000022,0.000000
1970,0.000024,0.000000
1971,0.000017,0.000002
1972,0.000016,0.000002
1973,0.000019,0.000003
1974,0.000014,0.000000
1975,0.000016,0.000000
1976,0.000008,0.000000
1977,0.000010,0.000000
1978,0.000009,0.000000
1979,0.000011,0.000000
1980,0.000008,0.000000
1981,0.000008,0.000000
1982,0.000006,0.000000
1983,0.000006,0.000000
1984,0.000007,0.000000
1985,0.000004,0.000000
1986,0.000006,0.000000
1987,0.000005,0.000000
1988,0.000006,0.000000
1989,0.000004,0.000002
1990,0.000008,0.000000
1991,0.000005,0.000000
1992,0.000007,0.000000
1993,0.000006,0.000000
1994,0.000003,0.000000
1995,0.000005,0.000000
1996,0.000004,0.000000
1997,0.000004,0.000000
1998,0.000005,0.000000
1999,0.000004,0.000000
2000,0.000006,0.000000
2001,0.000007,0.000000
2002,0.000005,0.000000
2003,0.000006,0.000000
2004,0.000006,0.000000
2005,0.000007,0.000000
2006,0.000007,0.000000
2007,0.000006,0.000000
2008,0.000007,0.000000
2009,0.000010,0.000000
2010,0.000006,0.000000
2011,0.000008,0.000000
2012,0.000013,0.000000
2013,0.000020,0.000000
