year,Wayde
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,5
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,6
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,6
1944,5
1945,6
1946,8
1947,9
1948,8
1949,7
1950,0
1951,5
1952,5
1953,6
1954,14
1955,19
1956,15
1957,33
1958,153
1959,252
1960,135
1961,50
1962,37
1963,32
1964,31
1965,19
1966,31
1967,26
1968,18
1969,28
1970,23
1971,20
1972,15
1973,17
1974,19
1975,17
1976,13
1977,10
1978,13
1979,17
1980,13
1981,15
1982,20
1983,15
1984,13
1985,12
1986,14
1987,12
1988,19
1989,20
1990,20
1991,15
1992,22
1993,17
1994,26
1995,18
1996,28
1997,21
1998,20
1999,24
2000,15
2001,9
2002,20
2003,31
2004,10
2005,19
2006,17
2007,12
2008,26
2009,22
2010,29
2011,30
2012,33
