year,Wyatt (F),Wyatt (M)
1880,0.000000,0.000074
1881,0.000000,0.000073
1882,0.000000,0.000054
1883,0.000000,0.000028
1884,0.000000,0.000053
1885,0.000000,0.000037
1886,0.000000,0.000047
1887,0.000000,0.000044
1888,0.000000,0.000053
1889,0.000000,0.000052
1890,0.000000,0.000040
1891,0.000000,0.000017
1892,0.000000,0.000033
1893,0.000000,0.000043
1894,0.000000,0.000053
1895,0.000000,0.000031
1896,0.000000,0.000056
1897,0.000000,0.000029
1898,0.000000,0.000034
1899,0.000000,0.000038
1900,0.000000,0.000031
1901,0.000000,0.000035
1902,0.000000,0.000016
1903,0.000000,0.000029
1904,0.000000,0.000015
1905,0.000000,0.000026
1906,0.000000,0.000019
1907,0.000000,0.000030
1908,0.000000,0.000025
1909,0.000000,0.000039
1910,0.000000,0.000024
1911,0.000000,0.000025
1912,0.000000,0.000029
1913,0.000000,0.000031
1914,0.000000,0.000030
1915,0.000000,0.000029
1916,0.000000,0.000024
1917,0.000000,0.000024
1918,0.000000,0.000030
1919,0.000000,0.000040
1920,0.000000,0.000023
1921,0.000000,0.000021
1922,0.000000,0.000021
1923,0.000000,0.000026
1924,0.000000,0.000028
1925,0.000000,0.000021
1926,0.000000,0.000019
1927,0.000000,0.000019
1928,0.000000,0.000028
1929,0.000000,0.000019
1930,0.000000,0.000020
1931,0.000000,0.000017
1932,0.000000,0.000022
1933,0.000000,0.000016
1934,0.000000,0.000017
1935,0.000000,0.000014
1936,0.000000,0.000018
1937,0.000000,0.000017
1938,0.000000,0.000016
1939,0.000000,0.000020
1940,0.000000,0.000020
1941,0.000000,0.000017
1942,0.000000,0.000018
1943,0.000000,0.000018
1944,0.000000,0.000020
1945,0.000000,0.000015
1946,0.000000,0.000013
1947,0.000000,0.000013
1948,0.000000,0.000015
1949,0.000000,0.000014
1950,0.000000,0.000015
1951,0.000000,0.000012
1952,0.000000,0.000014
1953,0.000000,0.000017
1954,0.000000,0.000015
1955,0.000000,0.000031
1956,0.000000,0.000062
1957,0.000000,0.000066
1958,0.000000,0.000044
1959,0.000000,0.000033
1960,0.000000,0.000025
1961,0.000000,0.000019
1962,0.000000,0.000018
1963,0.000000,0.000017
1964,0.000000,0.000018
1965,0.000000,0.000022
1966,0.000000,0.000017
1967,0.000000,0.000017
1968,0.000000,0.000024
1969,0.000000,0.000028
1970,0.000000,0.000035
1971,0.000000,0.000042
1972,0.000000,0.000048
1973,0.000000,0.000046
1974,0.000000,0.000048
1975,0.000000,0.000060
1976,0.000000,0.000060
1977,0.000000,0.000056
1978,0.000000,0.000060
1979,0.000000,0.000058
1980,0.000000,0.000067
1981,0.000000,0.000064
1982,0.000000,0.000058
1983,0.000000,0.000059
1984,0.000001,0.000059
1985,0.000000,0.000059
1986,0.000000,0.000082
1987,0.000002,0.000100
1988,0.000000,0.000102
1989,0.000000,0.000125
1990,0.000000,0.000144
1991,0.000000,0.000146
1992,0.000000,0.000167
1993,0.000000,0.000167
1994,0.000000,0.000415
1995,0.000003,0.000772
1996,0.000002,0.000765
1997,0.000002,0.000758
1998,0.000002,0.000740
1999,0.000003,0.000784
2000,0.000002,0.000903
2001,0.000003,0.000962
2002,0.000003,0.000865
2003,0.000003,0.000974
2004,0.000004,0.001303
2005,0.000003,0.001394
2006,0.000002,0.001477
2007,0.000003,0.001634
2008,0.000004,0.001863
2009,0.000005,0.001940
2010,0.000003,0.001997
2011,0.000004,0.002103
2012,0.000003,0.002251
2013,0.000004,0.002353
