year,Wilson (F),Wilson (M)
1880,0.000000,0.000357
1881,0.000000,0.000379
1882,0.000000,0.000370
1883,0.000000,0.000309
1884,0.000000,0.000320
1885,0.000000,0.000245
1886,0.000000,0.000278
1887,0.000000,0.000210
1888,0.000000,0.000207
1889,0.000000,0.000152
1890,0.000000,0.000222
1891,0.000000,0.000202
1892,0.000000,0.000167
1893,0.000000,0.000203
1894,0.000000,0.000127
1895,0.000000,0.000202
1896,0.000000,0.000204
1897,0.000000,0.000127
1898,0.000000,0.000157
1899,0.000000,0.000174
1900,0.000000,0.000198
1901,0.000000,0.000147
1902,0.000000,0.000178
1903,0.000000,0.000165
1904,0.000000,0.000193
1905,0.000000,0.000172
1906,0.000000,0.000159
1907,0.000000,0.000178
1908,0.000000,0.000162
1909,0.000000,0.000207
1910,0.000000,0.000190
1911,0.000000,0.000200
1912,0.000000,0.000502
1913,0.000005,0.000580
1914,0.000000,0.000427
1915,0.000003,0.000419
1916,0.000004,0.000471
1917,0.000003,0.000459
1918,0.000000,0.000636
1919,0.000000,0.000404
1920,0.000003,0.000258
1921,0.000002,0.000257
1922,0.000003,0.000246
1923,0.000003,0.000231
1924,0.000000,0.000228
1925,0.000000,0.000190
1926,0.000000,0.000202
1927,0.000003,0.000199
1928,0.000000,0.000192
1929,0.000000,0.000183
1930,0.000000,0.000193
1931,0.000000,0.000161
1932,0.000000,0.000166
1933,0.000000,0.000175
1934,0.000000,0.000170
1935,0.000000,0.000163
1936,0.000000,0.000189
1937,0.000000,0.000166
1938,0.000000,0.000176
1939,0.000000,0.000182
1940,0.000000,0.000194
1941,0.000000,0.000185
1942,0.000000,0.000171
1943,0.000000,0.000163
1944,0.000002,0.000169
1945,0.000000,0.000150
1946,0.000000,0.000134
1947,0.000000,0.000122
1948,0.000000,0.000127
1949,0.000000,0.000108
1950,0.000000,0.000100
1951,0.000000,0.000097
1952,0.000000,0.000094
1953,0.000000,0.000093
1954,0.000000,0.000084
1955,0.000000,0.000084
1956,0.000000,0.000073
1957,0.000000,0.000085
1958,0.000000,0.000077
1959,0.000000,0.000075
1960,0.000000,0.000068
1961,0.000000,0.000065
1962,0.000000,0.000071
1963,0.000000,0.000072
1964,0.000000,0.000067
1965,0.000000,0.000069
1966,0.000000,0.000087
1967,0.000000,0.000075
1968,0.000000,0.000067
1969,0.000000,0.000070
1970,0.000001,0.000080
1971,0.000000,0.000079
1972,0.000000,0.000073
1973,0.000002,0.000067
1974,0.000000,0.000068
1975,0.000000,0.000072
1976,0.000000,0.000072
1977,0.000000,0.000067
1978,0.000000,0.000071
1979,0.000000,0.000072
1980,0.000000,0.000082
1981,0.000002,0.000075
1982,0.000001,0.000076
1983,0.000001,0.000072
1984,0.000000,0.000077
1985,0.000001,0.000077
1986,0.000000,0.000080
1987,0.000000,0.000081
1988,0.000000,0.000096
1989,0.000000,0.000084
1990,0.000002,0.000105
1991,0.000002,0.000112
1992,0.000002,0.000133
1993,0.000000,0.000115
1994,0.000001,0.000099
1995,0.000002,0.000112
1996,0.000001,0.000104
1997,0.000000,0.000105
1998,0.000002,0.000109
1999,0.000000,0.000110
2000,0.000001,0.000111
2001,0.000003,0.000123
2002,0.000000,0.000136
2003,0.000000,0.000123
2004,0.000000,0.000143
2005,0.000002,0.000134
2006,0.000001,0.000128
2007,0.000001,0.000119
2008,0.000000,0.000125
2009,0.000000,0.000128
2010,0.000000,0.000116
2011,0.000000,0.000112
2012,0.000000,0.000116
