year,Wilburt
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,7
1911,5
1912,11
1913,6
1914,15
1915,24
1916,28
1917,37
1918,32
1919,14
1920,39
1921,24
1922,29
1923,27
1924,23
1925,28
1926,28
1927,23
1928,20
1929,22
1930,25
1931,26
1932,23
1933,19
1934,17
1935,16
1936,22
1937,13
1938,16
1939,14
1940,11
1941,17
1942,19
1943,18
1944,15
1945,12
1946,18
1947,9
1948,11
1949,24
1950,21
1951,15
1952,24
1953,8
1954,21
1955,11
1956,10
1957,24
1958,11
1959,8
1960,22
1961,11
1962,0
1963,14
1964,12
1965,8
1966,10
1967,0
1968,8
1969,5
1970,8
1971,11
1972,0
1973,6
1974,8
1975,7
1976,0
1977,6
1978,5
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,8
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
