year,Winston (F),Winston (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000028
1884,0.000000,0.000021
1885,0.000000,0.000000
1886,0.000000,0.000031
1887,0.000000,0.000024
1888,0.000000,0.000017
1889,0.000000,0.000024
1890,0.000000,0.000020
1891,0.000000,0.000017
1892,0.000000,0.000024
1893,0.000000,0.000025
1894,0.000000,0.000021
1895,0.000000,0.000020
1896,0.000000,0.000034
1897,0.000000,0.000032
1898,0.000000,0.000045
1899,0.000000,0.000027
1900,0.000000,0.000029
1901,0.000000,0.000035
1902,0.000000,0.000028
1903,0.000000,0.000034
1904,0.000000,0.000035
1905,0.000000,0.000047
1906,0.000000,0.000047
1907,0.000000,0.000045
1908,0.000000,0.000074
1909,0.000000,0.000068
1910,0.000000,0.000034
1911,0.000000,0.000054
1912,0.000000,0.000096
1913,0.000000,0.000081
1914,0.000004,0.000112
1915,0.000000,0.000108
1916,0.000003,0.000100
1917,0.000000,0.000103
1918,0.000003,0.000103
1919,0.000000,0.000099
1920,0.000002,0.000093
1921,0.000000,0.000124
1922,0.000000,0.000112
1923,0.000000,0.000093
1924,0.000000,0.000110
1925,0.000002,0.000096
1926,0.000002,0.000100
1927,0.000000,0.000102
1928,0.000000,0.000091
1929,0.000000,0.000092
1930,0.000000,0.000090
1931,0.000002,0.000084
1932,0.000000,0.000099
1933,0.000003,0.000091
1934,0.000000,0.000095
1935,0.000000,0.000084
1936,0.000000,0.000084
1937,0.000000,0.000091
1938,0.000000,0.000079
1939,0.000003,0.000079
1940,0.000003,0.000143
1941,0.000000,0.000223
1942,0.000000,0.000191
1943,0.000000,0.000194
1944,0.000002,0.000138
1945,0.000000,0.000102
1946,0.000002,0.000085
1947,0.000000,0.000076
1948,0.000000,0.000084
1949,0.000000,0.000076
1950,0.000000,0.000082
1951,0.000000,0.000069
1952,0.000000,0.000069
1953,0.000002,0.000068
1954,0.000000,0.000068
1955,0.000000,0.000071
1956,0.000000,0.000065
1957,0.000000,0.000061
1958,0.000000,0.000047
1959,0.000000,0.000047
1960,0.000000,0.000046
1961,0.000000,0.000050
1962,0.000000,0.000044
1963,0.000000,0.000053
1964,0.000000,0.000051
1965,0.000000,0.000064
1966,0.000000,0.000060
1967,0.000002,0.000055
1968,0.000000,0.000048
1969,0.000000,0.000055
1970,0.000000,0.000050
1971,0.000000,0.000061
1972,0.000000,0.000052
1973,0.000000,0.000053
1974,0.000000,0.000048
1975,0.000000,0.000053
1976,0.000000,0.000049
1977,0.000000,0.000057
1978,0.000000,0.000054
1979,0.000000,0.000046
1980,0.000000,0.000051
1981,0.000000,0.000052
1982,0.000000,0.000050
1983,0.000000,0.000044
1984,0.000000,0.000053
1985,0.000002,0.000062
1986,0.000000,0.000054
1987,0.000002,0.000062
1988,0.000000,0.000061
1989,0.000000,0.000066
1990,0.000000,0.000071
1991,0.000000,0.000074
1992,0.000000,0.000072
1993,0.000000,0.000068
1994,0.000000,0.000066
1995,0.000000,0.000066
1996,0.000000,0.000068
1997,0.000000,0.000057
1998,0.000000,0.000057
1999,0.000000,0.000072
2000,0.000000,0.000066
2001,0.000000,0.000057
2002,0.000000,0.000058
2003,0.000000,0.000052
2004,0.000000,0.000056
2005,0.000000,0.000064
2006,0.000000,0.000057
2007,0.000000,0.000060
2008,0.000000,0.000069
2009,0.000000,0.000071
2010,0.000000,0.000064
2011,0.000000,0.000084
2012,0.000000,0.000109
