year,Wells
1880,0
1881,5
1882,0
1883,0
1884,5
1885,0
1886,6
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,8
1912,20
1913,12
1914,20
1915,23
1916,21
1917,19
1918,17
1919,26
1920,18
1921,37
1922,27
1923,15
1924,22
1925,14
1926,15
1927,21
1928,16
1929,8
1930,17
1931,16
1932,13
1933,9
1934,15
1935,11
1936,0
1937,11
1938,15
1939,12
1940,9
1941,10
1942,10
1943,14
1944,7
1945,12
1946,14
1947,11
1948,15
1949,8
1950,13
1951,10
1952,7
1953,7
1954,15
1955,12
1956,6
1957,7
1958,7
1959,6
1960,10
1961,7
1962,7
1963,7
1964,5
1965,0
1966,5
1967,7
1968,12
1969,8
1970,13
1971,10
1972,0
1973,13
1974,9
1975,6
1976,12
1977,6
1978,8
1979,10
1980,5
1981,6
1982,0
1983,7
1984,11
1985,9
1986,11
1987,7
1988,8
1989,7
1990,9
1991,14
1992,11
1993,10
1994,9
1995,9
1996,6
1997,11
1998,19
1999,10
2000,15
2001,9
2002,10
2003,18
2004,22
2005,22
2006,17
2007,17
2008,17
2009,19
2010,38
2011,42
2012,51
