year,Wilber (F),Wilber (M)
1880,0.000000,0.000114
1881,0.000000,0.000073
1882,0.000000,0.000131
1883,0.000000,0.000078
1884,0.000000,0.000094
1885,0.000000,0.000091
1886,0.000000,0.000055
1887,0.000000,0.000089
1888,0.000000,0.000037
1889,0.000000,0.000048
1890,0.000000,0.000053
1891,0.000000,0.000038
1892,0.000000,0.000054
1893,0.000000,0.000046
1894,0.000000,0.000044
1895,0.000000,0.000060
1896,0.000000,0.000056
1897,0.000000,0.000035
1898,0.000000,0.000055
1899,0.000000,0.000018
1900,0.000000,0.000069
1901,0.000000,0.000038
1902,0.000000,0.000052
1903,0.000000,0.000045
1904,0.000000,0.000052
1905,0.000000,0.000042
1906,0.000000,0.000056
1907,0.000000,0.000052
1908,0.000000,0.000043
1909,0.000000,0.000061
1910,0.000000,0.000059
1911,0.000000,0.000054
1912,0.000000,0.000065
1913,0.000000,0.000062
1914,0.000000,0.000066
1915,0.000000,0.000087
1916,0.000000,0.000065
1917,0.000000,0.000075
1918,0.000000,0.000070
1919,0.000000,0.000077
1920,0.000000,0.000067
1921,0.000000,0.000063
1922,0.000000,0.000069
1923,0.000000,0.000069
1924,0.000000,0.000067
1925,0.000000,0.000063
1926,0.000000,0.000061
1927,0.000000,0.000061
1928,0.000000,0.000054
1929,0.000003,0.000048
1930,0.000000,0.000066
1931,0.000000,0.000053
1932,0.000000,0.000053
1933,0.000000,0.000034
1934,0.000000,0.000040
1935,0.000000,0.000050
1936,0.000000,0.000049
1937,0.000000,0.000033
1938,0.000000,0.000040
1939,0.000000,0.000034
1940,0.000000,0.000038
1941,0.000000,0.000030
1942,0.000000,0.000027
1943,0.000000,0.000023
1944,0.000000,0.000019
1945,0.000000,0.000015
1946,0.000000,0.000013
1947,0.000000,0.000018
1948,0.000000,0.000013
1949,0.000001,0.000010
1950,0.000000,0.000008
1951,0.000000,0.000009
1952,0.000000,0.000012
1953,0.000000,0.000010
1954,0.000000,0.000010
1955,0.000000,0.000008
1956,0.000000,0.000007
1957,0.000000,0.000007
1958,0.000000,0.000007
1959,0.000000,0.000008
1960,0.000000,0.000004
1961,0.000000,0.000005
1962,0.000000,0.000006
1963,0.000000,0.000004
1964,0.000000,0.000005
1965,0.000000,0.000004
1966,0.000000,0.000003
1967,0.000000,0.000003
1968,0.000000,0.000006
1969,0.000000,0.000005
1970,0.000000,0.000002
1971,0.000000,0.000006
1972,0.000000,0.000007
1973,0.000000,0.000004
1974,0.000000,0.000008
1975,0.000000,0.000005
1976,0.000000,0.000006
1977,0.000000,0.000003
1978,0.000000,0.000002
1979,0.000000,0.000003
1980,0.000000,0.000004
1981,0.000000,0.000003
1982,0.000000,0.000003
1983,0.000000,0.000002
1984,0.000000,0.000005
1985,0.000000,0.000002
1986,0.000000,0.000005
1987,0.000000,0.000005
1988,0.000000,0.000006
1989,0.000000,0.000008
1990,0.000000,0.000009
1991,0.000000,0.000010
1992,0.000000,0.000009
1993,0.000000,0.000012
1994,0.000000,0.000008
1995,0.000000,0.000011
1996,0.000000,0.000009
1997,0.000000,0.000008
1998,0.000000,0.000009
1999,0.000000,0.000012
2000,0.000000,0.000012
2001,0.000000,0.000013
2002,0.000000,0.000013
2003,0.000000,0.000016
2004,0.000000,0.000016
2005,0.000000,0.000014
2006,0.000000,0.000021
2007,0.000000,0.000014
2008,0.000000,0.000017
2009,0.000000,0.000011
2010,0.000000,0.000014
2011,0.000000,0.000012
2012,0.000000,0.000010
