year,Winfield (F),Winfield (M)
1880,0.000000,0.000536
1881,0.000000,0.000337
1882,0.000000,0.000176
1883,0.000000,0.000212
1884,0.000000,0.000127
1885,0.000000,0.000137
1886,0.000000,0.000098
1887,0.000000,0.000141
1888,0.000000,0.000080
1889,0.000000,0.000083
1890,0.000000,0.000090
1891,0.000000,0.000091
1892,0.000000,0.000090
1893,0.000000,0.000058
1894,0.000000,0.000059
1895,0.000000,0.000063
1896,0.000000,0.000059
1897,0.000000,0.000052
1898,0.000000,0.000073
1899,0.000000,0.000068
1900,0.000000,0.000060
1901,0.000000,0.000040
1902,0.000000,0.000065
1903,0.000000,0.000050
1904,0.000000,0.000052
1905,0.000000,0.000042
1906,0.000000,0.000042
1907,0.000000,0.000047
1908,0.000000,0.000037
1909,0.000000,0.000033
1910,0.000000,0.000046
1911,0.000000,0.000050
1912,0.000000,0.000058
1913,0.000000,0.000073
1914,0.000000,0.000059
1915,0.000000,0.000065
1916,0.000000,0.000065
1917,0.000000,0.000050
1918,0.000000,0.000056
1919,0.000000,0.000053
1920,0.000000,0.000053
1921,0.000000,0.000045
1922,0.000000,0.000046
1923,0.000000,0.000045
1924,0.000000,0.000040
1925,0.000000,0.000043
1926,0.000000,0.000036
1927,0.000000,0.000042
1928,0.000000,0.000033
1929,0.000000,0.000028
1930,0.000000,0.000030
1931,0.000000,0.000035
1932,0.000000,0.000036
1933,0.000000,0.000030
1934,0.000000,0.000031
1935,0.000000,0.000027
1936,0.000000,0.000029
1937,0.000000,0.000030
1938,0.000000,0.000023
1939,0.000000,0.000025
1940,0.000000,0.000023
1941,0.000000,0.000022
1942,0.000000,0.000018
1943,0.000000,0.000022
1944,0.000000,0.000023
1945,0.000000,0.000015
1946,0.000000,0.000018
1947,0.000000,0.000020
1948,0.000000,0.000019
1949,0.000000,0.000016
1950,0.000000,0.000014
1951,0.000000,0.000017
1952,0.000000,0.000013
1953,0.000000,0.000014
1954,0.000000,0.000010
1955,0.000000,0.000010
1956,0.000000,0.000008
1957,0.000000,0.000008
1958,0.000000,0.000008
1959,0.000000,0.000006
1960,0.000000,0.000009
1961,0.000000,0.000008
1962,0.000000,0.000008
1963,0.000000,0.000008
1964,0.000000,0.000007
1965,0.000000,0.000007
1966,0.000000,0.000009
1967,0.000000,0.000007
1968,0.000000,0.000007
1969,0.000000,0.000008
1970,0.000000,0.000009
1971,0.000000,0.000004
1972,0.000000,0.000006
1973,0.000000,0.000009
1974,0.000000,0.000005
1975,0.000000,0.000004
1976,0.000000,0.000005
1977,0.000000,0.000005
1978,0.000000,0.000005
1979,0.000000,0.000004
1980,0.000000,0.000006
1981,0.000000,0.000006
1982,0.000000,0.000004
1983,0.000000,0.000005
1984,0.000000,0.000005
1985,0.000000,0.000003
1986,0.000000,0.000003
1987,0.000000,0.000003
1988,0.000000,0.000004
1989,0.000000,0.000003
1990,0.000000,0.000003
1991,0.000000,0.000003
1992,0.000000,0.000004
1993,0.000000,0.000004
1994,0.000000,0.000002
1995,0.000000,0.000005
1996,0.000000,0.000002
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000002
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000002
2009,0.000000,0.000000
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000000
