year,Wilmer (F),Wilmer (M)
1880,0.000000,0.000094
1881,0.000000,0.000057
1882,0.000000,0.000090
1883,0.000000,0.000069
1884,0.000000,0.000074
1885,0.000000,0.000066
1886,0.000000,0.000074
1887,0.000000,0.000061
1888,0.000000,0.000053
1889,0.000000,0.000048
1890,0.000000,0.000050
1891,0.000000,0.000066
1892,0.000000,0.000084
1893,0.000000,0.000086
1894,0.000000,0.000068
1895,0.000000,0.000077
1896,0.000000,0.000062
1897,0.000000,0.000043
1898,0.000000,0.000068
1899,0.000000,0.000044
1900,0.000020,0.000095
1901,0.000000,0.000064
1902,0.000000,0.000065
1903,0.000000,0.000094
1904,0.000015,0.000092
1905,0.000014,0.000087
1906,0.000012,0.000086
1907,0.000000,0.000086
1908,0.000000,0.000088
1909,0.000014,0.000088
1910,0.000020,0.000095
1911,0.000016,0.000121
1912,0.000011,0.000136
1913,0.000011,0.000173
1914,0.000012,0.000180
1915,0.000013,0.000192
1916,0.000012,0.000177
1917,0.000007,0.000170
1918,0.000009,0.000158
1919,0.000016,0.000158
1920,0.000013,0.000196
1921,0.000010,0.000182
1922,0.000010,0.000161
1923,0.000011,0.000152
1924,0.000012,0.000153
1925,0.000010,0.000153
1926,0.000012,0.000136
1927,0.000010,0.000145
1928,0.000008,0.000132
1929,0.000009,0.000123
1930,0.000008,0.000119
1931,0.000008,0.000125
1932,0.000009,0.000117
1933,0.000007,0.000104
1934,0.000007,0.000095
1935,0.000008,0.000093
1936,0.000005,0.000089
1937,0.000008,0.000085
1938,0.000007,0.000080
1939,0.000005,0.000071
1940,0.000005,0.000069
1941,0.000005,0.000069
1942,0.000004,0.000053
1943,0.000004,0.000067
1944,0.000004,0.000054
1945,0.000003,0.000043
1946,0.000003,0.000039
1947,0.000002,0.000041
1948,0.000003,0.000040
1949,0.000002,0.000034
1950,0.000003,0.000027
1951,0.000002,0.000029
1952,0.000000,0.000029
1953,0.000000,0.000025
1954,0.000000,0.000021
1955,0.000000,0.000026
1956,0.000001,0.000019
1957,0.000001,0.000021
1958,0.000000,0.000017
1959,0.000001,0.000019
1960,0.000000,0.000017
1961,0.000000,0.000019
1962,0.000000,0.000015
1963,0.000000,0.000016
1964,0.000000,0.000017
1965,0.000000,0.000013
1966,0.000000,0.000016
1967,0.000000,0.000015
1968,0.000000,0.000016
1969,0.000000,0.000015
1970,0.000000,0.000013
1971,0.000000,0.000013
1972,0.000000,0.000011
1973,0.000000,0.000013
1974,0.000000,0.000011
1975,0.000000,0.000012
1976,0.000000,0.000011
1977,0.000000,0.000009
1978,0.000000,0.000009
1979,0.000000,0.000011
1980,0.000000,0.000009
1981,0.000000,0.000009
1982,0.000000,0.000010
1983,0.000000,0.000008
1984,0.000000,0.000010
1985,0.000000,0.000013
1986,0.000000,0.000012
1987,0.000000,0.000017
1988,0.000000,0.000014
1989,0.000000,0.000013
1990,0.000000,0.000013
1991,0.000000,0.000013
1992,0.000000,0.000019
1993,0.000000,0.000017
1994,0.000000,0.000015
1995,0.000000,0.000017
1996,0.000000,0.000017
1997,0.000000,0.000020
1998,0.000000,0.000018
1999,0.000000,0.000021
2000,0.000000,0.000025
2001,0.000000,0.000030
2002,0.000000,0.000027
2003,0.000000,0.000026
2004,0.000000,0.000030
2005,0.000000,0.000036
2006,0.000000,0.000037
2007,0.000000,0.000044
2008,0.000000,0.000031
2009,0.000000,0.000035
2010,0.000000,0.000034
2011,0.000000,0.000030
2012,0.000000,0.000026
2013,0.000000,0.000024
2014,0.000000,0.000027
2015,0.000000,0.000028
2016,0.000000,0.000029
2017,0.000000,0.000023
2018,0.000000,0.000027
2019,0.000000,0.000027
2020,0.000000,0.000023
