year,Wray
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,5
1908,0
1909,0
1910,0
1911,0
1912,5
1913,8
1914,16
1915,13
1916,16
1917,6
1918,16
1919,17
1920,11
1921,12
1922,14
1923,13
1924,13
1925,17
1926,17
1927,28
1928,16
1929,19
1930,7
1931,16
1932,23
1933,14
1934,15
1935,14
1936,18
1937,21
1938,13
1939,10
1940,13
1941,12
1942,18
1943,14
1944,10
1945,17
1946,13
1947,15
1948,14
1949,15
1950,18
1951,18
1952,12
1953,16
1954,11
1955,12
1956,9
1957,10
1958,24
1959,16
1960,17
1961,10
1962,6
1963,8
1964,11
1965,6
1966,19
1967,13
1968,5
1969,11
1970,11
1971,10
1972,9
1973,6
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,7
1984,0
1985,5
1986,5
1987,7
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
