year,Wendi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,7
1944,6
1945,6
1946,18
1947,13
1948,21
1949,41
1950,42
1951,46
1952,65
1953,68
1954,80
1955,89
1956,119
1957,141
1958,140
1959,153
1960,243
1961,253
1962,250
1963,306
1964,386
1965,458
1966,500
1967,666
1968,706
1969,732
1970,844
1971,839
1972,706
1973,636
1974,643
1975,563
1976,475
1977,458
1978,409
1979,374
1980,353
1981,329
1982,291
1983,204
1984,165
1985,174
1986,122
1987,101
1988,114
1989,110
1990,97
1991,87
1992,80
1993,72
1994,54
1995,45
1996,39
1997,21
1998,44
1999,32
2000,38
2001,49
2002,42
2003,42
2004,46
2005,35
2006,42
2007,34
2008,26
2009,18
2010,15
2011,8
2012,15
