year,Ward (F),Ward (M)
1880,0.000000,0.000149
1881,0.000000,0.000192
1882,0.000000,0.000135
1883,0.000000,0.000124
1884,0.000000,0.000156
1885,0.000000,0.000095
1886,0.000000,0.000098
1887,0.000000,0.000093
1888,0.000000,0.000097
1889,0.000000,0.000111
1890,0.000000,0.000123
1891,0.000000,0.000129
1892,0.000000,0.000150
1893,0.000000,0.000092
1894,0.000000,0.000092
1895,0.000000,0.000137
1896,0.000000,0.000115
1897,0.000000,0.000081
1898,0.000000,0.000073
1899,0.000000,0.000141
1900,0.000000,0.000095
1901,0.000000,0.000072
1902,0.000000,0.000119
1903,0.000000,0.000105
1904,0.000000,0.000097
1905,0.000000,0.000073
1906,0.000000,0.000079
1907,0.000000,0.000069
1908,0.000000,0.000086
1909,0.000000,0.000078
1910,0.000000,0.000085
1911,0.000000,0.000120
1912,0.000000,0.000115
1913,0.000000,0.000132
1914,0.000000,0.000136
1915,0.000000,0.000129
1916,0.000003,0.000109
1917,0.000000,0.000121
1918,0.000000,0.000119
1919,0.000000,0.000115
1920,0.000000,0.000126
1921,0.000000,0.000117
1922,0.000000,0.000141
1923,0.000000,0.000118
1924,0.000000,0.000116
1925,0.000000,0.000110
1926,0.000000,0.000096
1927,0.000000,0.000099
1928,0.000002,0.000081
1929,0.000000,0.000088
1930,0.000000,0.000100
1931,0.000000,0.000085
1932,0.000000,0.000080
1933,0.000000,0.000082
1934,0.000000,0.000090
1935,0.000000,0.000075
1936,0.000000,0.000067
1937,0.000000,0.000070
1938,0.000000,0.000079
1939,0.000000,0.000070
1940,0.000000,0.000062
1941,0.000000,0.000057
1942,0.000000,0.000058
1943,0.000000,0.000063
1944,0.000000,0.000062
1945,0.000000,0.000058
1946,0.000000,0.000069
1947,0.000000,0.000061
1948,0.000000,0.000059
1949,0.000000,0.000053
1950,0.000000,0.000048
1951,0.000000,0.000054
1952,0.000000,0.000047
1953,0.000000,0.000054
1954,0.000000,0.000049
1955,0.000000,0.000049
1956,0.000000,0.000047
1957,0.000001,0.000040
1958,0.000000,0.000060
1959,0.000000,0.000061
1960,0.000000,0.000068
1961,0.000000,0.000082
1962,0.000000,0.000065
1963,0.000000,0.000071
1964,0.000000,0.000063
1965,0.000000,0.000047
1966,0.000000,0.000058
1967,0.000000,0.000054
1968,0.000000,0.000042
1969,0.000000,0.000038
1970,0.000000,0.000036
1971,0.000000,0.000027
1972,0.000000,0.000030
1973,0.000000,0.000021
1974,0.000000,0.000020
1975,0.000000,0.000016
1976,0.000000,0.000021
1977,0.000000,0.000018
1978,0.000000,0.000014
1979,0.000000,0.000011
1980,0.000000,0.000013
1981,0.000000,0.000009
1982,0.000000,0.000012
1983,0.000000,0.000012
1984,0.000000,0.000008
1985,0.000000,0.000010
1986,0.000000,0.000010
1987,0.000000,0.000009
1988,0.000000,0.000008
1989,0.000000,0.000007
1990,0.000000,0.000008
1991,0.000000,0.000005
1992,0.000000,0.000006
1993,0.000000,0.000006
1994,0.000000,0.000004
1995,0.000000,0.000005
1996,0.000000,0.000006
1997,0.000000,0.000006
1998,0.000000,0.000006
1999,0.000000,0.000005
2000,0.000000,0.000004
2001,0.000000,0.000005
2002,0.000000,0.000004
2003,0.000000,0.000004
2004,0.000000,0.000003
2005,0.000000,0.000006
2006,0.000000,0.000005
2007,0.000000,0.000003
2008,0.000000,0.000005
2009,0.000000,0.000003
2010,0.000000,0.000005
2011,0.000000,0.000005
2012,0.000000,0.000007
2013,0.000000,0.000008
2014,0.000000,0.000008
2015,0.000003,0.000007
2016,0.000002,0.000013
2017,0.000003,0.000012
2018,0.000003,0.000011
2019,0.000004,0.000010
2020,0.000000,0.000014
