year,Warner (F),Warner (M)
1880,0.000000,0.000050
1881,0.000000,0.000052
1882,0.000000,0.000068
1883,0.000000,0.000083
1884,0.000000,0.000090
1885,0.000000,0.000071
1886,0.000000,0.000070
1887,0.000000,0.000049
1888,0.000000,0.000077
1889,0.000000,0.000080
1890,0.000000,0.000073
1891,0.000000,0.000052
1892,0.000000,0.000072
1893,0.000000,0.000046
1894,0.000000,0.000047
1895,0.000000,0.000037
1896,0.000000,0.000070
1897,0.000000,0.000043
1898,0.000000,0.000055
1899,0.000000,0.000074
1900,0.000000,0.000044
1901,0.000000,0.000038
1902,0.000000,0.000026
1903,0.000000,0.000063
1904,0.000000,0.000055
1905,0.000000,0.000040
1906,0.000000,0.000040
1907,0.000000,0.000056
1908,0.000000,0.000039
1909,0.000000,0.000041
1910,0.000000,0.000032
1911,0.000000,0.000031
1912,0.000000,0.000053
1913,0.000000,0.000054
1914,0.000000,0.000052
1915,0.000000,0.000047
1916,0.000000,0.000057
1917,0.000000,0.000045
1918,0.000000,0.000050
1919,0.000000,0.000051
1920,0.000000,0.000070
1921,0.000000,0.000072
1922,0.000000,0.000053
1923,0.000000,0.000051
1924,0.000000,0.000052
1925,0.000000,0.000040
1926,0.000000,0.000044
1927,0.000000,0.000040
1928,0.000000,0.000041
1929,0.000003,0.000053
1930,0.000000,0.000047
1931,0.000000,0.000046
1932,0.000000,0.000058
1933,0.000000,0.000065
1934,0.000000,0.000077
1935,0.000000,0.000079
1936,0.000002,0.000065
1937,0.000003,0.000069
1938,0.000000,0.000061
1939,0.000000,0.000054
1940,0.000002,0.000047
1941,0.000000,0.000036
1942,0.000000,0.000030
1943,0.000000,0.000031
1944,0.000000,0.000030
1945,0.000002,0.000028
1946,0.000000,0.000023
1947,0.000000,0.000022
1948,0.000000,0.000022
1949,0.000000,0.000020
1950,0.000000,0.000015
1951,0.000000,0.000015
1952,0.000000,0.000021
1953,0.000000,0.000018
1954,0.000000,0.000015
1955,0.000001,0.000016
1956,0.000002,0.000016
1957,0.000000,0.000012
1958,0.000000,0.000017
1959,0.000000,0.000014
1960,0.000000,0.000016
1961,0.000000,0.000015
1962,0.000000,0.000020
1963,0.000000,0.000018
1964,0.000000,0.000013
1965,0.000000,0.000012
1966,0.000000,0.000014
1967,0.000000,0.000014
1968,0.000000,0.000009
1969,0.000000,0.000012
1970,0.000000,0.000011
1971,0.000000,0.000012
1972,0.000000,0.000011
1973,0.000000,0.000010
1974,0.000000,0.000008
1975,0.000000,0.000011
1976,0.000000,0.000008
1977,0.000000,0.000007
1978,0.000000,0.000009
1979,0.000000,0.000007
1980,0.000000,0.000010
1981,0.000000,0.000010
1982,0.000000,0.000007
1983,0.000000,0.000009
1984,0.000000,0.000006
1985,0.000000,0.000006
1986,0.000000,0.000007
1987,0.000000,0.000005
1988,0.000000,0.000008
1989,0.000000,0.000007
1990,0.000000,0.000007
1991,0.000000,0.000005
1992,0.000000,0.000007
1993,0.000000,0.000008
1994,0.000000,0.000006
1995,0.000000,0.000005
1996,0.000000,0.000007
1997,0.000000,0.000005
1998,0.000000,0.000005
1999,0.000000,0.000007
2000,0.000000,0.000008
2001,0.000000,0.000010
2002,0.000000,0.000009
2003,0.000000,0.000012
2004,0.000000,0.000010
2005,0.000000,0.000010
2006,0.000000,0.000010
2007,0.000000,0.000009
2008,0.000000,0.000012
2009,0.000000,0.000015
2010,0.000000,0.000018
2011,0.000000,0.000013
2012,0.000001,0.000020
2013,0.000000,0.000016
