year,Walt
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,6
1909,0
1910,0
1911,0
1912,8
1913,0
1914,7
1915,8
1916,9
1917,10
1918,12
1919,14
1920,13
1921,19
1922,13
1923,10
1924,13
1925,21
1926,20
1927,11
1928,25
1929,9
1930,25
1931,26
1932,19
1933,13
1934,19
1935,26
1936,26
1937,23
1938,25
1939,30
1940,27
1941,39
1942,51
1943,44
1944,44
1945,48
1946,53
1947,52
1948,37
1949,22
1950,18
1951,17
1952,18
1953,17
1954,22
1955,28
1956,31
1957,54
1958,80
1959,81
1960,61
1961,53
1962,62
1963,52
1964,41
1965,28
1966,36
1967,35
1968,25
1969,27
1970,28
1971,23
1972,20
1973,21
1974,14
1975,19
1976,15
1977,13
1978,18
1979,11
1980,14
1981,16
1982,15
1983,15
1984,10
1985,14
1986,8
1987,12
1988,8
1989,6
1990,8
1991,11
1992,0
1993,9
1994,7
1995,7
1996,7
1997,11
1998,6
1999,10
2000,8
2001,11
2002,10
2003,5
2004,5
2005,8
2006,11
2007,9
2008,10
2009,14
2010,16
2011,18
2012,15
