year,William (F),William (M)
1880,0.000149,0.047309
1881,0.000156,0.044237
1882,0.000140,0.041971
1883,0.000184,0.038660
1884,0.000140,0.036544
1885,0.000137,0.033398
1886,0.000137,0.032321
1887,0.000178,0.030195
1888,0.000140,0.029068
1889,0.000159,0.026898
1890,0.000113,0.024864
1891,0.000174,0.023592
1892,0.000132,0.023273
1893,0.000098,0.022209
1894,0.000100,0.021477
1895,0.000114,0.020731
1896,0.000123,0.021671
1897,0.000092,0.020746
1898,0.000107,0.019399
1899,0.000068,0.017941
1900,0.000098,0.019053
1901,0.000093,0.017322
1902,0.000065,0.017107
1903,0.000092,0.016556
1904,0.000062,0.015901
1905,0.000066,0.015321
1906,0.000065,0.015325
1907,0.000062,0.014835
1908,0.000092,0.015408
1909,0.000068,0.015478
1910,0.000063,0.014972
1911,0.000078,0.016442
1912,0.000079,0.019863
1913,0.000083,0.020700
1914,0.000068,0.021007
1915,0.000070,0.021045
1916,0.000070,0.020894
1917,0.000082,0.021140
1918,0.000079,0.020860
1919,0.000083,0.020836
1920,0.000091,0.022163
1921,0.000081,0.022215
1922,0.000085,0.022328
1923,0.000098,0.022643
1924,0.000103,0.022467
1925,0.000124,0.022846
1926,0.000132,0.022613
1927,0.000138,0.022196
1928,0.000154,0.021726
1929,0.000154,0.021808
1930,0.000130,0.021261
1931,0.000113,0.020566
1932,0.000111,0.019953
1933,0.000098,0.019531
1934,0.000084,0.019344
1935,0.000078,0.019236
1936,0.000074,0.018961
1937,0.000077,0.019111
1938,0.000062,0.019177
1939,0.000069,0.019096
1940,0.000066,0.019445
1941,0.000057,0.019617
1942,0.000062,0.020092
1943,0.000060,0.019807
1944,0.000051,0.019468
1945,0.000054,0.018930
1946,0.000049,0.018790
1947,0.000043,0.018598
1948,0.000045,0.017950
1949,0.000038,0.017648
1950,0.000036,0.017323
1951,0.000029,0.017042
1952,0.000038,0.016598
1953,0.000034,0.016047
1954,0.000032,0.015431
1955,0.000029,0.014940
1956,0.000037,0.014304
1957,0.000040,0.013529
1958,0.000039,0.013118
1959,0.000038,0.012360
1960,0.000039,0.011878
1961,0.000049,0.011592
1962,0.000043,0.011118
1963,0.000046,0.011233
1964,0.000040,0.011378
1965,0.000043,0.011066
1966,0.000052,0.011004
1967,0.000055,0.011081
1968,0.000056,0.010935
1969,0.000057,0.010825
1970,0.000057,0.010786
1971,0.000059,0.010321
1972,0.000061,0.009711
1973,0.000054,0.009287
1974,0.000056,0.008877
1975,0.000054,0.008468
1976,0.000066,0.008054
1977,0.000059,0.007796
1978,0.000059,0.007620
1979,0.000057,0.007423
1980,0.000063,0.007446
1981,0.000049,0.007170
1982,0.000051,0.007298
1983,0.000054,0.007334
1984,0.000045,0.007140
1985,0.000051,0.006896
1986,0.000046,0.006841
1987,0.000047,0.006714
1988,0.000044,0.006531
1989,0.000024,0.006418
1990,0.000015,0.006301
1991,0.000014,0.006128
1992,0.000016,0.006005
1993,0.000011,0.005892
1994,0.000012,0.005781
1995,0.000013,0.005505
1996,0.000011,0.005633
1997,0.000007,0.005522
1998,0.000010,0.005665
1999,0.000007,0.005609
2000,0.000010,0.005468
2001,0.000006,0.005372
2002,0.000009,0.005385
2003,0.000008,0.005259
2004,0.000029,0.005296
2005,0.000007,0.004958
2006,0.000005,0.004795
2007,0.000007,0.004726
2008,0.000007,0.004682
2009,0.000004,0.004695
2010,0.000006,0.004619
2011,0.000008,0.004747
2012,0.000005,0.004623
2013,0.000004,0.004572
2014,0.000006,0.004547
2015,0.000004,0.004308
2016,0.000005,0.004310
2017,0.000005,0.004206
2018,0.000003,0.004165
2019,0.000003,0.003935
2020,0.000004,0.003794
