year,Wende
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,6
1944,0
1945,7
1946,8
1947,8
1948,13
1949,29
1950,15
1951,24
1952,32
1953,38
1954,33
1955,43
1956,39
1957,27
1958,32
1959,32
1960,53
1961,35
1962,35
1963,30
1964,41
1965,57
1966,81
1967,139
1968,60
1969,64
1970,67
1971,65
1972,45
1973,37
1974,33
1975,22
1976,32
1977,21
1978,8
1979,13
1980,18
1981,5
1982,15
1983,0
1984,0
1985,6
1986,5
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
