year,Wynona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,7
1902,10
1903,6
1904,0
1905,8
1906,7
1907,7
1908,15
1909,12
1910,9
1911,16
1912,19
1913,33
1914,50
1915,37
1916,43
1917,49
1918,53
1919,53
1920,63
1921,68
1922,84
1923,82
1924,79
1925,71
1926,65
1927,93
1928,87
1929,59
1930,97
1931,89
1932,75
1933,65
1934,70
1935,88
1936,66
1937,64
1938,76
1939,66
1940,54
1941,56
1942,55
1943,57
1944,49
1945,44
1946,47
1947,42
1948,44
1949,39
1950,49
1951,40
1952,34
1953,37
1954,50
1955,40
1956,38
1957,34
1958,30
1959,40
1960,37
1961,22
1962,38
1963,25
1964,25
1965,19
1966,24
1967,21
1968,14
1969,17
1970,18
1971,30
1972,29
1973,15
1974,22
1975,16
1976,12
1977,14
1978,5
1979,5
1980,7
1981,0
1982,0
1983,8
1984,0
1985,5
1986,8
1987,7
1988,5
1989,7
1990,10
1991,13
1992,20
1993,13
1994,7
1995,10
1996,10
1997,6
1998,7
1999,9
2000,11
2001,9
2002,8
2003,0
2004,8
2005,0
2006,5
2007,10
2008,6
2009,0
2010,8
2011,0
2012,6
