year,Waynette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,0
1935,5
1936,0
1937,6
1938,9
1939,6
1940,0
1941,7
1942,8
1943,9
1944,13
1945,9
1946,9
1947,17
1948,9
1949,17
1950,13
1951,14
1952,16
1953,9
1954,12
1955,10
1956,17
1957,8
1958,8
1959,14
1960,11
1961,10
1962,18
1963,22
1964,9
1965,16
1966,9
1967,17
1968,18
1969,16
1970,23
1971,22
1972,20
1973,16
1974,11
1975,10
1976,10
1977,17
1978,9
1979,9
1980,8
1981,7
1982,7
1983,6
1984,0
1985,0
1986,6
1987,5
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
