year,Wanza
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,33
1916,13
1917,7
1918,12
1919,8
1920,5
1921,12
1922,8
1923,7
1924,0
1925,12
1926,12
1927,14
1928,7
1929,9
1930,6
1931,9
1932,5
1933,8
1934,10
1935,6
1936,5
1937,15
1938,6
1939,9
1940,9
1941,9
1942,11
1943,9
1944,10
1945,9
1946,7
1947,6
1948,8
1949,0
1950,0
1951,0
1952,6
1953,0
1954,11
1955,8
1956,10
1957,10
1958,7
1959,5
1960,11
1961,5
1962,5
1963,5
1964,9
1965,9
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
