year,Wilfred (F),Wilfred (M)
1880,0.000000,0.000104
1881,0.000000,0.000114
1882,0.000000,0.000099
1883,0.000000,0.000194
1884,0.000000,0.000136
1885,0.000000,0.000154
1886,0.000000,0.000106
1887,0.000000,0.000125
1888,0.000000,0.000120
1889,0.000000,0.000128
1890,0.000000,0.000149
1891,0.000000,0.000140
1892,0.000000,0.000135
1893,0.000000,0.000154
1894,0.000000,0.000130
1895,0.000000,0.000117
1896,0.000000,0.000199
1897,0.000000,0.000133
1898,0.000000,0.000199
1899,0.000000,0.000153
1900,0.000000,0.000180
1901,0.000000,0.000136
1902,0.000000,0.000163
1903,0.000000,0.000168
1904,0.000000,0.000198
1905,0.000000,0.000177
1906,0.000000,0.000175
1907,0.000000,0.000200
1908,0.000000,0.000201
1909,0.000000,0.000178
1910,0.000008,0.000164
1911,0.000000,0.000261
1912,0.000000,0.000321
1913,0.000004,0.000338
1914,0.000000,0.000327
1915,0.000006,0.000342
1916,0.000000,0.000374
1917,0.000000,0.000385
1918,0.000002,0.000336
1919,0.000004,0.000329
1920,0.000004,0.000355
1921,0.000004,0.000315
1922,0.000003,0.000315
1923,0.000000,0.000338
1924,0.000000,0.000305
1925,0.000003,0.000316
1926,0.000004,0.000279
1927,0.000002,0.000320
1928,0.000004,0.000281
1929,0.000003,0.000279
1930,0.000000,0.000270
1931,0.000000,0.000244
1932,0.000000,0.000246
1933,0.000000,0.000216
1934,0.000000,0.000203
1935,0.000000,0.000196
1936,0.000000,0.000202
1937,0.000000,0.000186
1938,0.000000,0.000183
1939,0.000000,0.000167
1940,0.000000,0.000141
1941,0.000000,0.000126
1942,0.000000,0.000125
1943,0.000000,0.000140
1944,0.000000,0.000130
1945,0.000000,0.000110
1946,0.000000,0.000101
1947,0.000000,0.000089
1948,0.000000,0.000084
1949,0.000000,0.000091
1950,0.000000,0.000087
1951,0.000000,0.000083
1952,0.000000,0.000078
1953,0.000000,0.000077
1954,0.000000,0.000064
1955,0.000000,0.000070
1956,0.000001,0.000065
1957,0.000000,0.000072
1958,0.000000,0.000063
1959,0.000000,0.000064
1960,0.000000,0.000060
1961,0.000000,0.000057
1962,0.000000,0.000058
1963,0.000000,0.000059
1964,0.000000,0.000052
1965,0.000000,0.000055
1966,0.000000,0.000055
1967,0.000000,0.000042
1968,0.000000,0.000038
1969,0.000000,0.000042
1970,0.000000,0.000040
1971,0.000000,0.000043
1972,0.000000,0.000035
1973,0.000000,0.000027
1974,0.000000,0.000040
1975,0.000000,0.000026
1976,0.000000,0.000033
1977,0.000000,0.000029
1978,0.000000,0.000028
1979,0.000000,0.000031
1980,0.000000,0.000021
1981,0.000000,0.000024
1982,0.000000,0.000032
1983,0.000000,0.000025
1984,0.000000,0.000027
1985,0.000000,0.000022
1986,0.000000,0.000019
1987,0.000000,0.000015
1988,0.000000,0.000019
1989,0.000000,0.000022
1990,0.000000,0.000014
1991,0.000000,0.000022
1992,0.000000,0.000017
1993,0.000000,0.000015
1994,0.000000,0.000017
1995,0.000000,0.000011
1996,0.000000,0.000010
1997,0.000000,0.000013
1998,0.000000,0.000016
1999,0.000000,0.000008
2000,0.000000,0.000011
2001,0.000000,0.000011
2002,0.000000,0.000012
2003,0.000000,0.000008
2004,0.000000,0.000010
2005,0.000000,0.000008
2006,0.000000,0.000007
2007,0.000000,0.000008
2008,0.000000,0.000008
2009,0.000000,0.000006
2010,0.000000,0.000008
2011,0.000000,0.000006
2012,0.000000,0.000005
2013,0.000000,0.000008
