year,Wilhelmine
1880,6
1881,8
1882,8
1883,5
1884,13
1885,8
1886,7
1887,12
1888,12
1889,8
1890,10
1891,14
1892,12
1893,14
1894,19
1895,19
1896,20
1897,8
1898,8
1899,11
1900,11
1901,7
1902,12
1903,6
1904,8
1905,12
1906,9
1907,7
1908,0
1909,0
1910,10
1911,14
1912,10
1913,12
1914,18
1915,19
1916,20
1917,11
1918,15
1919,14
1920,11
1921,10
1922,13
1923,7
1924,9
1925,7
1926,0
1927,0
1928,8
1929,0
1930,0
1931,5
1932,0
1933,0
1934,7
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
