year,Waneta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,0
1903,8
1904,5
1905,0
1906,7
1907,13
1908,7
1909,0
1910,14
1911,14
1912,23
1913,31
1914,40
1915,65
1916,66
1917,61
1918,90
1919,76
1920,87
1921,95
1922,81
1923,101
1924,87
1925,76
1926,77
1927,71
1928,66
1929,52
1930,73
1931,76
1932,65
1933,57
1934,49
1935,49
1936,46
1937,48
1938,36
1939,34
1940,32
1941,42
1942,28
1943,29
1944,26
1945,18
1946,21
1947,15
1948,22
1949,19
1950,13
1951,10
1952,21
1953,19
1954,15
1955,14
1956,14
1957,12
1958,16
1959,10
1960,12
1961,14
1962,10
1963,12
1964,12
1965,8
1966,6
1967,5
1968,8
1969,8
1970,0
1971,9
1972,8
1973,8
1974,6
1975,9
1976,0
1977,6
1978,0
1979,12
1980,6
1981,0
1982,6
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,12
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
