year,Walker (F),Walker (M)
1880,0.000000,0.000144
1881,0.000000,0.000130
1882,0.000000,0.000126
1883,0.000000,0.000092
1884,0.000000,0.000078
1885,0.000000,0.000095
1886,0.000000,0.000114
1887,0.000000,0.000101
1888,0.000000,0.000117
1889,0.000000,0.000114
1890,0.000000,0.000096
1891,0.000000,0.000073
1892,0.000000,0.000096
1893,0.000000,0.000080
1894,0.000000,0.000065
1895,0.000000,0.000103
1896,0.000000,0.000112
1897,0.000000,0.000098
1898,0.000000,0.000073
1899,0.000000,0.000077
1900,0.000000,0.000060
1901,0.000000,0.000072
1902,0.000000,0.000049
1903,0.000000,0.000058
1904,0.000000,0.000042
1905,0.000000,0.000047
1906,0.000000,0.000065
1907,0.000000,0.000047
1908,0.000000,0.000074
1909,0.000000,0.000051
1910,0.000000,0.000064
1911,0.000000,0.000051
1912,0.000000,0.000067
1913,0.000000,0.000067
1914,0.000004,0.000051
1915,0.000003,0.000056
1916,0.000000,0.000054
1917,0.000000,0.000052
1918,0.000000,0.000049
1919,0.000000,0.000056
1920,0.000004,0.000067
1921,0.000000,0.000055
1922,0.000000,0.000049
1923,0.000000,0.000048
1924,0.000000,0.000047
1925,0.000002,0.000044
1926,0.000000,0.000040
1927,0.000002,0.000034
1928,0.000000,0.000041
1929,0.000000,0.000045
1930,0.000000,0.000040
1931,0.000000,0.000038
1932,0.000000,0.000033
1933,0.000000,0.000033
1934,0.000000,0.000034
1935,0.000000,0.000036
1936,0.000000,0.000029
1937,0.000000,0.000039
1938,0.000000,0.000027
1939,0.000000,0.000026
1940,0.000000,0.000032
1941,0.000000,0.000027
1942,0.000000,0.000026
1943,0.000000,0.000025
1944,0.000000,0.000030
1945,0.000000,0.000027
1946,0.000000,0.000024
1947,0.000000,0.000021
1948,0.000000,0.000017
1949,0.000000,0.000022
1950,0.000000,0.000015
1951,0.000000,0.000020
1952,0.000000,0.000017
1953,0.000000,0.000015
1954,0.000000,0.000017
1955,0.000000,0.000015
1956,0.000000,0.000013
1957,0.000000,0.000010
1958,0.000000,0.000013
1959,0.000000,0.000013
1960,0.000000,0.000008
1961,0.000000,0.000012
1962,0.000000,0.000012
1963,0.000000,0.000010
1964,0.000000,0.000009
1965,0.000000,0.000011
1966,0.000000,0.000012
1967,0.000000,0.000010
1968,0.000000,0.000010
1969,0.000000,0.000012
1970,0.000000,0.000011
1971,0.000000,0.000014
1972,0.000000,0.000017
1973,0.000000,0.000017
1974,0.000000,0.000022
1975,0.000000,0.000020
1976,0.000000,0.000020
1977,0.000000,0.000022
1978,0.000000,0.000015
1979,0.000000,0.000016
1980,0.000001,0.000017
1981,0.000000,0.000017
1982,0.000000,0.000020
1983,0.000000,0.000023
1984,0.000000,0.000024
1985,0.000000,0.000024
1986,0.000000,0.000023
1987,0.000000,0.000023
1988,0.000000,0.000027
1989,0.000000,0.000033
1990,0.000000,0.000037
1991,0.000001,0.000045
1992,0.000000,0.000051
1993,0.000001,0.000068
1994,0.000003,0.000099
1995,0.000003,0.000123
1996,0.000003,0.000138
1997,0.000004,0.000148
1998,0.000002,0.000147
1999,0.000002,0.000145
2000,0.000001,0.000153
2001,0.000002,0.000168
2002,0.000002,0.000166
2003,0.000003,0.000165
2004,0.000005,0.000189
2005,0.000002,0.000209
2006,0.000003,0.000176
2007,0.000002,0.000150
2008,0.000002,0.000140
2009,0.000002,0.000155
2010,0.000002,0.000176
2011,0.000003,0.000185
2012,0.000002,0.000194
2013,0.000004,0.000231
