year,Waymon (F),Waymon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000027
1889,0.000000,0.000017
1890,0.000000,0.000023
1891,0.000000,0.000021
1892,0.000000,0.000015
1893,0.000000,0.000015
1894,0.000000,0.000015
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000017
1898,0.000000,0.000026
1899,0.000000,0.000000
1900,0.000000,0.000016
1901,0.000000,0.000000
1902,0.000000,0.000018
1903,0.000000,0.000000
1904,0.000000,0.000017
1905,0.000000,0.000019
1906,0.000000,0.000014
1907,0.000000,0.000013
1908,0.000000,0.000016
1909,0.000000,0.000029
1910,0.000000,0.000010
1911,0.000000,0.000029
1912,0.000000,0.000020
1913,0.000000,0.000023
1914,0.000000,0.000023
1915,0.000000,0.000029
1916,0.000000,0.000028
1917,0.000000,0.000023
1918,0.000000,0.000027
1919,0.000000,0.000032
1920,0.000000,0.000028
1921,0.000000,0.000026
1922,0.000000,0.000021
1923,0.000000,0.000024
1924,0.000000,0.000028
1925,0.000000,0.000026
1926,0.000000,0.000030
1927,0.000000,0.000026
1928,0.000000,0.000033
1929,0.000000,0.000032
1930,0.000000,0.000034
1931,0.000000,0.000035
1932,0.000000,0.000037
1933,0.000000,0.000039
1934,0.000000,0.000030
1935,0.000000,0.000038
1936,0.000000,0.000046
1937,0.000000,0.000038
1938,0.000000,0.000038
1939,0.000000,0.000038
1940,0.000000,0.000038
1941,0.000000,0.000035
1942,0.000000,0.000033
1943,0.000000,0.000027
1944,0.000000,0.000028
1945,0.000000,0.000029
1946,0.000000,0.000023
1947,0.000000,0.000021
1948,0.000000,0.000026
1949,0.000000,0.000021
1950,0.000000,0.000020
1951,0.000000,0.000021
1952,0.000000,0.000021
1953,0.000000,0.000016
1954,0.000000,0.000019
1955,0.000000,0.000016
1956,0.000000,0.000016
1957,0.000000,0.000018
1958,0.000000,0.000014
1959,0.000000,0.000015
1960,0.000000,0.000015
1961,0.000000,0.000015
1962,0.000000,0.000015
1963,0.000000,0.000013
1964,0.000000,0.000014
1965,0.000000,0.000011
1966,0.000000,0.000012
1967,0.000000,0.000014
1968,0.000000,0.000013
1969,0.000000,0.000011
1970,0.000000,0.000014
1971,0.000000,0.000009
1972,0.000000,0.000009
1973,0.000000,0.000013
1974,0.000000,0.000008
1975,0.000000,0.000010
1976,0.000000,0.000010
1977,0.000000,0.000009
1978,0.000000,0.000010
1979,0.000000,0.000011
1980,0.000000,0.000010
1981,0.000000,0.000006
1982,0.000000,0.000006
1983,0.000000,0.000007
1984,0.000000,0.000007
1985,0.000000,0.000005
1986,0.000000,0.000004
1987,0.000000,0.000004
1988,0.000000,0.000004
1989,0.000000,0.000006
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000000,0.000004
1993,0.000000,0.000006
1994,0.000000,0.000003
1995,0.000000,0.000002
1996,0.000000,0.000004
1997,0.000000,0.000004
1998,0.000000,0.000003
1999,0.000000,0.000003
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000000
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000000
2008,0.000000,0.000002
2009,0.000000,0.000001
2010,0.000000,0.000000
2011,0.000000,0.000002
2012,0.000000,0.000000
2013,0.000000,0.000002
2014,0.000000,0.000000
2015,0.000000,0.000002
2016,0.000000,0.000000
2017,0.000000,0.000002
2018,0.000000,0.000002
2019,0.000000,0.000000
2020,0.000000,0.000000
