year,Williemae
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,11
1901,7
1902,6
1903,7
1904,8
1905,5
1906,16
1907,13
1908,12
1909,10
1910,16
1911,22
1912,24
1913,31
1914,23
1915,25
1916,44
1917,31
1918,34
1919,35
1920,47
1921,30
1922,25
1923,28
1924,29
1925,8
1926,12
1927,5
1928,10
1929,9
1930,7
1931,6
1932,10
1933,6
1934,5
1935,6
1936,6
1937,6
1938,10
1939,6
1940,0
1941,0
1942,0
1943,7
1944,0
1945,5
1946,7
1947,0
1948,0
1949,7
1950,7
1951,6
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,6
1960,5
1961,0
1962,5
1963,0
1964,0
1965,6
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
