year,Waylon (F),Waylon (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000008
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000004
1917,0.000000,0.000000
1918,0.000000,0.000005
1919,0.000000,0.000002
1920,0.000000,0.000004
1921,0.000000,0.000004
1922,0.000000,0.000003
1923,0.000000,0.000003
1924,0.000000,0.000006
1925,0.000000,0.000004
1926,0.000000,0.000006
1927,0.000000,0.000003
1928,0.000000,0.000008
1929,0.000000,0.000005
1930,0.000000,0.000007
1931,0.000000,0.000009
1932,0.000000,0.000004
1933,0.000000,0.000012
1934,0.000000,0.000011
1935,0.000000,0.000009
1936,0.000000,0.000009
1937,0.000000,0.000012
1938,0.000000,0.000013
1939,0.000000,0.000004
1940,0.000000,0.000008
1941,0.000000,0.000008
1942,0.000000,0.000006
1943,0.000000,0.000007
1944,0.000000,0.000007
1945,0.000000,0.000006
1946,0.000000,0.000006
1947,0.000000,0.000005
1948,0.000000,0.000006
1949,0.000000,0.000004
1950,0.000000,0.000003
1951,0.000000,0.000004
1952,0.000000,0.000005
1953,0.000000,0.000004
1954,0.000000,0.000003
1955,0.000000,0.000003
1956,0.000000,0.000004
1957,0.000000,0.000002
1958,0.000000,0.000006
1959,0.000000,0.000002
1960,0.000000,0.000002
1961,0.000000,0.000002
1962,0.000000,0.000004
1963,0.000000,0.000002
1964,0.000000,0.000003
1965,0.000000,0.000003
1966,0.000000,0.000007
1967,0.000000,0.000015
1968,0.000000,0.000023
1969,0.000000,0.000028
1970,0.000000,0.000033
1971,0.000000,0.000032
1972,0.000000,0.000027
1973,0.000000,0.000033
1974,0.000000,0.000029
1975,0.000000,0.000038
1976,0.000000,0.000053
1977,0.000000,0.000080
1978,0.000000,0.000081
1979,0.000000,0.000093
1980,0.000000,0.000113
1981,0.000000,0.000088
1982,0.000000,0.000057
1983,0.000000,0.000053
1984,0.000000,0.000055
1985,0.000000,0.000050
1986,0.000000,0.000036
1987,0.000000,0.000037
1988,0.000000,0.000032
1989,0.000000,0.000031
1990,0.000000,0.000029
1991,0.000000,0.000032
1992,0.000000,0.000035
1993,0.000000,0.000029
1994,0.000000,0.000035
1995,0.000000,0.000030
1996,0.000000,0.000035
1997,0.000000,0.000037
1998,0.000000,0.000030
1999,0.000000,0.000031
2000,0.000000,0.000035
2001,0.000000,0.000028
2002,0.000000,0.000061
2003,0.000000,0.000054
2004,0.000000,0.000076
2005,0.000000,0.000095
2006,0.000000,0.000118
2007,0.000000,0.000126
2008,0.000000,0.000122
2009,0.000000,0.000149
2010,0.000000,0.000178
2011,0.000000,0.000219
2012,0.000000,0.000266
2013,0.000002,0.000330
2014,0.000002,0.000405
2015,0.000003,0.000476
2016,0.000006,0.000561
2017,0.000005,0.000679
2018,0.000005,0.000794
2019,0.000008,0.000993
2020,0.000009,0.001074
