year,Winford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,6
1890,0
1891,5
1892,0
1893,0
1894,0
1895,7
1896,0
1897,0
1898,5
1899,5
1900,6
1901,9
1902,5
1903,0
1904,0
1905,0
1906,0
1907,6
1908,8
1909,7
1910,11
1911,12
1912,27
1913,34
1914,31
1915,61
1916,63
1917,61
1918,89
1919,89
1920,98
1921,98
1922,89
1923,110
1924,107
1925,108
1926,99
1927,108
1928,115
1929,91
1930,97
1931,86
1932,96
1933,81
1934,89
1935,91
1936,98
1937,80
1938,74
1939,75
1940,76
1941,95
1942,81
1943,82
1944,69
1945,61
1946,71
1947,79
1948,60
1949,69
1950,62
1951,60
1952,66
1953,66
1954,56
1955,61
1956,56
1957,42
1958,56
1959,62
1960,53
1961,54
1962,51
1963,33
1964,29
1965,32
1966,40
1967,27
1968,32
1969,21
1970,31
1971,31
1972,14
1973,17
1974,11
1975,22
1976,12
1977,11
1978,19
1979,12
1980,12
1981,10
1982,20
1983,14
1984,12
1985,13
1986,9
1987,11
1988,8
1989,11
1990,7
1991,7
1992,11
1993,12
1994,0
1995,9
1996,0
1997,0
1998,7
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,6
2010,0
2011,0
2012,0
