year,Willetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,5
1895,10
1896,0
1897,6
1898,0
1899,10
1900,0
1901,6
1902,6
1903,0
1904,0
1905,10
1906,6
1907,10
1908,7
1909,10
1910,8
1911,18
1912,24
1913,22
1914,29
1915,27
1916,39
1917,39
1918,39
1919,37
1920,36
1921,29
1922,52
1923,35
1924,45
1925,31
1926,36
1927,30
1928,25
1929,37
1930,35
1931,31
1932,31
1933,29
1934,31
1935,31
1936,28
1937,34
1938,19
1939,23
1940,28
1941,28
1942,25
1943,39
1944,31
1945,19
1946,21
1947,28
1948,23
1949,27
1950,19
1951,27
1952,20
1953,31
1954,28
1955,29
1956,25
1957,16
1958,28
1959,11
1960,30
1961,23
1962,19
1963,18
1964,30
1965,17
1966,17
1967,8
1968,14
1969,12
1970,20
1971,16
1972,5
1973,14
1974,5
1975,6
1976,10
1977,0
1978,10
1979,5
1980,13
1981,9
1982,9
1983,10
1984,5
1985,5
1986,5
1987,6
1988,8
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
