year,Waunita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,8
1905,6
1906,0
1907,5
1908,0
1909,6
1910,0
1911,13
1912,7
1913,11
1914,16
1915,26
1916,18
1917,32
1918,24
1919,21
1920,28
1921,28
1922,27
1923,32
1924,35
1925,34
1926,21
1927,32
1928,16
1929,28
1930,30
1931,26
1932,19
1933,25
1934,17
1935,15
1936,8
1937,15
1938,17
1939,11
1940,11
1941,18
1942,11
1943,12
1944,15
1945,17
1946,10
1947,11
1948,6
1949,7
1950,9
1951,10
1952,9
1953,6
1954,0
1955,5
1956,7
1957,0
1958,5
1959,6
1960,8
1961,7
1962,7
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,0
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
