year,Winnie (F),Winnie (M)
1880,0.000243,0.000000
1881,0.000436,0.000000
1882,0.000334,0.000000
1883,0.000286,0.000023
1884,0.000378,0.000029
1885,0.000332,0.000000
1886,0.000505,0.000020
1887,0.000461,0.000000
1888,0.000477,0.000000
1889,0.000561,0.000000
1890,0.000551,0.000000
1891,0.000705,0.000000
1892,0.000652,0.000015
1893,0.000658,0.000018
1894,0.000596,0.000000
1895,0.000558,0.000000
1896,0.000573,0.000000
1897,0.000447,0.000000
1898,0.000797,0.000018
1899,0.000778,0.000018
1900,0.000602,0.000000
1901,0.000630,0.000000
1902,0.000571,0.000000
1903,0.000546,0.000000
1904,0.000503,0.000000
1905,0.000488,0.000000
1906,0.000492,0.000000
1907,0.000505,0.000011
1908,0.000403,0.000000
1909,0.000440,0.000000
1910,0.000420,0.000000
1911,0.000368,0.000000
1912,0.000280,0.000000
1913,0.000288,0.000000
1914,0.000270,0.000006
1915,0.000250,0.000000
1916,0.000247,0.000004
1917,0.000255,0.000000
1918,0.000232,0.000004
1919,0.000256,0.000004
1920,0.000217,0.000004
1921,0.000196,0.000005
1922,0.000201,0.000003
1923,0.000200,0.000004
1924,0.000208,0.000003
1925,0.000172,0.000003
1926,0.000190,0.000004
1927,0.000175,0.000000
1928,0.000161,0.000006
1929,0.000146,0.000002
1930,0.000134,0.000003
1931,0.000165,0.000000
1932,0.000155,0.000003
1933,0.000178,0.000004
1934,0.000147,0.000000
1935,0.000166,0.000003
1936,0.000126,0.000000
1937,0.000119,0.000003
1938,0.000101,0.000000
1939,0.000114,0.000002
1940,0.000107,0.000004
1941,0.000099,0.000003
1942,0.000088,0.000002
1943,0.000074,0.000002
1944,0.000069,0.000000
1945,0.000074,0.000000
1946,0.000058,0.000000
1947,0.000050,0.000000
1948,0.000044,0.000001
1949,0.000040,0.000000
1950,0.000037,0.000000
1951,0.000039,0.000000
1952,0.000029,0.000000
1953,0.000027,0.000000
1954,0.000026,0.000000
1955,0.000024,0.000000
1956,0.000024,0.000000
1957,0.000027,0.000000
1958,0.000018,0.000000
1959,0.000018,0.000000
1960,0.000018,0.000000
1961,0.000020,0.000000
1962,0.000021,0.000000
1963,0.000014,0.000000
1964,0.000014,0.000000
1965,0.000016,0.000000
1966,0.000011,0.000000
1967,0.000014,0.000000
1968,0.000012,0.000000
1969,0.000012,0.000000
1970,0.000011,0.000000
1971,0.000014,0.000000
1972,0.000013,0.000000
1973,0.000014,0.000000
1974,0.000015,0.000000
1975,0.000014,0.000000
1976,0.000014,0.000000
1977,0.000013,0.000000
1978,0.000014,0.000000
1979,0.000011,0.000000
1980,0.000012,0.000000
1981,0.000008,0.000000
1982,0.000010,0.000000
1983,0.000009,0.000000
1984,0.000013,0.000000
1985,0.000009,0.000000
1986,0.000011,0.000000
1987,0.000013,0.000000
1988,0.000017,0.000000
1989,0.000017,0.000000
1990,0.000016,0.000000
1991,0.000016,0.000000
1992,0.000014,0.000000
1993,0.000017,0.000000
1994,0.000013,0.000000
1995,0.000016,0.000000
1996,0.000018,0.000000
1997,0.000014,0.000000
1998,0.000018,0.000000
1999,0.000019,0.000000
2000,0.000025,0.000000
2001,0.000018,0.000000
2002,0.000019,0.000000
2003,0.000020,0.000000
2004,0.000016,0.000000
2005,0.000014,0.000000
2006,0.000017,0.000000
2007,0.000025,0.000000
2008,0.000017,0.000000
2009,0.000023,0.000000
2010,0.000021,0.000000
2011,0.000018,0.000000
2012,0.000027,0.000000
