year,Wava
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,6
1894,7
1895,11
1896,7
1897,6
1898,7
1899,0
1900,11
1901,9
1902,6
1903,5
1904,6
1905,16
1906,9
1907,9
1908,13
1909,14
1910,10
1911,15
1912,20
1913,26
1914,36
1915,36
1916,49
1917,50
1918,41
1919,49
1920,38
1921,40
1922,51
1923,49
1924,60
1925,55
1926,54
1927,41
1928,57
1929,50
1930,54
1931,44
1932,47
1933,39
1934,36
1935,24
1936,37
1937,29
1938,23
1939,24
1940,30
1941,36
1942,26
1943,23
1944,20
1945,6
1946,24
1947,26
1948,21
1949,14
1950,17
1951,14
1952,17
1953,12
1954,17
1955,11
1956,10
1957,8
1958,13
1959,7
1960,8
1961,7
1962,7
1963,5
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,7
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
