year,Wynema
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,0
1911,0
1912,0
1913,10
1914,7
1915,12
1916,15
1917,11
1918,18
1919,14
1920,14
1921,21
1922,19
1923,25
1924,22
1925,25
1926,24
1927,18
1928,22
1929,16
1930,18
1931,16
1932,22
1933,23
1934,33
1935,30
1936,16
1937,12
1938,17
1939,14
1940,16
1941,14
1942,13
1943,19
1944,9
1945,7
1946,6
1947,8
1948,9
1949,7
1950,6
1951,5
1952,7
1953,7
1954,11
1955,7
1956,11
1957,8
1958,7
1959,8
1960,0
1961,0
1962,6
1963,0
1964,6
1965,0
1966,5
1967,0
1968,0
1969,0
1970,0
1971,7
1972,8
1973,8
1974,0
1975,7
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
