year,Wiley (F),Wiley (M)
1880,0.000000,0.000387
1881,0.000000,0.000394
1882,0.000000,0.000415
1883,0.000000,0.000332
1884,0.000000,0.000329
1885,0.000000,0.000316
1886,0.000000,0.000192
1887,0.000000,0.000267
1888,0.000000,0.000214
1889,0.000000,0.000253
1890,0.000000,0.000199
1891,0.000000,0.000178
1892,0.000000,0.000206
1893,0.000000,0.000154
1894,0.000000,0.000186
1895,0.000000,0.000174
1896,0.000000,0.000173
1897,0.000000,0.000170
1898,0.000000,0.000134
1899,0.000000,0.000147
1900,0.000000,0.000135
1901,0.000000,0.000185
1902,0.000000,0.000147
1903,0.000000,0.000136
1904,0.000000,0.000151
1905,0.000000,0.000123
1906,0.000000,0.000107
1907,0.000000,0.000125
1908,0.000000,0.000145
1909,0.000000,0.000133
1910,0.000000,0.000124
1911,0.000000,0.000115
1912,0.000000,0.000113
1913,0.000000,0.000137
1914,0.000000,0.000101
1915,0.000000,0.000116
1916,0.000000,0.000092
1917,0.000000,0.000127
1918,0.000000,0.000111
1919,0.000000,0.000111
1920,0.000000,0.000116
1921,0.000002,0.000130
1922,0.000003,0.000121
1923,0.000000,0.000126
1924,0.000000,0.000100
1925,0.000000,0.000105
1926,0.000004,0.000112
1927,0.000000,0.000109
1928,0.000003,0.000116
1929,0.000000,0.000105
1930,0.000000,0.000095
1931,0.000000,0.000107
1932,0.000002,0.000110
1933,0.000000,0.000108
1934,0.000000,0.000108
1935,0.000000,0.000137
1936,0.000003,0.000124
1937,0.000000,0.000104
1938,0.000000,0.000106
1939,0.000000,0.000094
1940,0.000003,0.000093
1941,0.000000,0.000091
1942,0.000002,0.000075
1943,0.000000,0.000080
1944,0.000000,0.000089
1945,0.000000,0.000073
1946,0.000000,0.000058
1947,0.000000,0.000064
1948,0.000001,0.000075
1949,0.000000,0.000059
1950,0.000001,0.000059
1951,0.000000,0.000048
1952,0.000000,0.000050
1953,0.000002,0.000050
1954,0.000000,0.000042
1955,0.000001,0.000042
1956,0.000000,0.000044
1957,0.000000,0.000040
1958,0.000000,0.000030
1959,0.000000,0.000038
1960,0.000000,0.000033
1961,0.000000,0.000029
1962,0.000000,0.000028
1963,0.000000,0.000032
1964,0.000000,0.000030
1965,0.000000,0.000034
1966,0.000000,0.000032
1967,0.000000,0.000034
1968,0.000000,0.000028
1969,0.000000,0.000026
1970,0.000000,0.000026
1971,0.000000,0.000028
1972,0.000000,0.000025
1973,0.000000,0.000023
1974,0.000000,0.000022
1975,0.000000,0.000016
1976,0.000000,0.000022
1977,0.000000,0.000020
1978,0.000000,0.000018
1979,0.000000,0.000018
1980,0.000000,0.000019
1981,0.000000,0.000015
1982,0.000000,0.000018
1983,0.000000,0.000011
1984,0.000000,0.000015
1985,0.000000,0.000018
1986,0.000000,0.000012
1987,0.000000,0.000011
1988,0.000000,0.000015
1989,0.000000,0.000015
1990,0.000000,0.000015
1991,0.000000,0.000017
1992,0.000000,0.000013
1993,0.000001,0.000014
1994,0.000000,0.000012
1995,0.000000,0.000012
1996,0.000000,0.000015
1997,0.000002,0.000015
1998,0.000000,0.000016
1999,0.000000,0.000013
2000,0.000000,0.000014
2001,0.000002,0.000016
2002,0.000000,0.000017
2003,0.000002,0.000020
2004,0.000000,0.000020
2005,0.000002,0.000023
2006,0.000001,0.000026
2007,0.000000,0.000019
2008,0.000002,0.000025
2009,0.000002,0.000026
2010,0.000000,0.000028
2011,0.000002,0.000024
2012,0.000003,0.000030
2013,0.000004,0.000032
