year,Wade (F),Wade (M)
1880,0.000000,0.000278
1881,0.000000,0.000270
1882,0.000000,0.000289
1883,0.000000,0.000249
1884,0.000000,0.000209
1885,0.000000,0.000224
1886,0.000000,0.000239
1887,0.000000,0.000158
1888,0.000000,0.000167
1889,0.000000,0.000145
1890,0.000000,0.000169
1891,0.000000,0.000133
1892,0.000000,0.000161
1893,0.000000,0.000163
1894,0.000000,0.000159
1895,0.000000,0.000111
1896,0.000000,0.000176
1897,0.000000,0.000153
1898,0.000000,0.000165
1899,0.000000,0.000183
1900,0.000000,0.000124
1901,0.000000,0.000179
1902,0.000000,0.000103
1903,0.000000,0.000121
1904,0.000000,0.000141
1905,0.000000,0.000151
1906,0.000000,0.000133
1907,0.000000,0.000148
1908,0.000000,0.000076
1909,0.000000,0.000135
1910,0.000000,0.000127
1911,0.000000,0.000121
1912,0.000000,0.000183
1913,0.000000,0.000157
1914,0.000000,0.000177
1915,0.000000,0.000145
1916,0.000003,0.000170
1917,0.000000,0.000158
1918,0.000000,0.000149
1919,0.000000,0.000158
1920,0.000003,0.000163
1921,0.000000,0.000164
1922,0.000002,0.000152
1923,0.000003,0.000146
1924,0.000003,0.000162
1925,0.000000,0.000142
1926,0.000000,0.000149
1927,0.000000,0.000163
1928,0.000002,0.000157
1929,0.000000,0.000141
1930,0.000000,0.000135
1931,0.000000,0.000144
1932,0.000000,0.000143
1933,0.000000,0.000148
1934,0.000000,0.000147
1935,0.000000,0.000157
1936,0.000000,0.000145
1937,0.000000,0.000146
1938,0.000000,0.000138
1939,0.000000,0.000157
1940,0.000000,0.000179
1941,0.000000,0.000162
1942,0.000000,0.000136
1943,0.000000,0.000141
1944,0.000000,0.000153
1945,0.000000,0.000143
1946,0.000000,0.000148
1947,0.000000,0.000136
1948,0.000000,0.000141
1949,0.000000,0.000135
1950,0.000000,0.000151
1951,0.000000,0.000151
1952,0.000000,0.000157
1953,0.000002,0.000172
1954,0.000000,0.000190
1955,0.000000,0.000208
1956,0.000000,0.000262
1957,0.000000,0.000272
1958,0.000000,0.000278
1959,0.000001,0.000295
1960,0.000001,0.000299
1961,0.000000,0.000301
1962,0.000002,0.000300
1963,0.000000,0.000355
1964,0.000001,0.000355
1965,0.000002,0.000358
1966,0.000001,0.000391
1967,0.000000,0.000367
1968,0.000000,0.000333
1969,0.000000,0.000393
1970,0.000002,0.000394
1971,0.000002,0.000336
1972,0.000002,0.000336
1973,0.000002,0.000368
1974,0.000002,0.000369
1975,0.000002,0.000375
1976,0.000002,0.000332
1977,0.000002,0.000280
1978,0.000002,0.000244
1979,0.000002,0.000230
1980,0.000000,0.000213
1981,0.000001,0.000187
1982,0.000000,0.000189
1983,0.000002,0.000173
1984,0.000000,0.000190
1985,0.000002,0.000182
1986,0.000002,0.000205
1987,0.000000,0.000203
1988,0.000000,0.000210
1989,0.000000,0.000202
1990,0.000000,0.000197
1991,0.000000,0.000180
1992,0.000000,0.000179
1993,0.000000,0.000157
1994,0.000000,0.000149
1995,0.000000,0.000144
1996,0.000000,0.000163
1997,0.000000,0.000153
1998,0.000000,0.000138
1999,0.000000,0.000134
2000,0.000000,0.000131
2001,0.000000,0.000124
2002,0.000000,0.000111
2003,0.000000,0.000106
2004,0.000002,0.000121
2005,0.000000,0.000127
2006,0.000000,0.000115
2007,0.000000,0.000122
2008,0.000000,0.000109
2009,0.000000,0.000105
2010,0.000000,0.000112
2011,0.000000,0.000127
2012,0.000000,0.000129
