year,Webb (F),Webb (M)
1880,0.000000,0.000060
1881,0.000000,0.000031
1882,0.000000,0.000050
1883,0.000000,0.000000
1884,0.000000,0.000033
1885,0.000000,0.000033
1886,0.000000,0.000020
1887,0.000000,0.000028
1888,0.000000,0.000040
1889,0.000000,0.000017
1890,0.000000,0.000020
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000037
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000025
1897,0.000000,0.000029
1898,0.000000,0.000016
1899,0.000000,0.000024
1900,0.000000,0.000027
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000013
1904,0.000000,0.000000
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000010
1910,0.000000,0.000012
1911,0.000000,0.000016
1912,0.000000,0.000011
1913,0.000000,0.000013
1914,0.000000,0.000012
1915,0.000000,0.000009
1916,0.000000,0.000011
1917,0.000000,0.000012
1918,0.000000,0.000010
1919,0.000000,0.000012
1920,0.000000,0.000008
1921,0.000000,0.000009
1922,0.000000,0.000009
1923,0.000000,0.000009
1924,0.000000,0.000008
1925,0.000000,0.000005
1926,0.000000,0.000006
1927,0.000000,0.000012
1928,0.000000,0.000008
1929,0.000000,0.000007
1930,0.000000,0.000004
1931,0.000000,0.000009
1932,0.000000,0.000007
1933,0.000000,0.000007
1934,0.000000,0.000010
1935,0.000000,0.000004
1936,0.000000,0.000005
1937,0.000000,0.000006
1938,0.000000,0.000003
1939,0.000000,0.000008
1940,0.000000,0.000007
1941,0.000000,0.000006
1942,0.000000,0.000007
1943,0.000000,0.000004
1944,0.000000,0.000006
1945,0.000000,0.000008
1946,0.000000,0.000004
1947,0.000000,0.000004
1948,0.000000,0.000004
1949,0.000000,0.000004
1950,0.000000,0.000005
1951,0.000000,0.000006
1952,0.000000,0.000004
1953,0.000000,0.000006
1954,0.000000,0.000005
1955,0.000000,0.000004
1956,0.000000,0.000004
1957,0.000000,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000004
1960,0.000000,0.000003
1961,0.000000,0.000002
1962,0.000000,0.000004
1963,0.000000,0.000003
1964,0.000000,0.000002
1965,0.000000,0.000002
1966,0.000000,0.000002
1967,0.000000,0.000002
1968,0.000000,0.000004
1969,0.000000,0.000002
1970,0.000000,0.000002
1971,0.000000,0.000005
1972,0.000000,0.000002
1973,0.000000,0.000002
1974,0.000000,0.000000
1975,0.000000,0.000002
1976,0.000000,0.000004
1977,0.000000,0.000000
1978,0.000000,0.000000
1979,0.000000,0.000002
1980,0.000000,0.000002
1981,0.000000,0.000002
1982,0.000000,0.000003
1983,0.000000,0.000002
1984,0.000000,0.000000
1985,0.000000,0.000000
1986,0.000000,0.000002
1987,0.000000,0.000002
1988,0.000000,0.000003
1989,0.000000,0.000001
1990,0.000000,0.000001
1991,0.000000,0.000001
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000000
1995,0.000000,0.000001
1996,0.000000,0.000002
1997,0.000000,0.000002
1998,0.000000,0.000002
1999,0.000000,0.000002
2000,0.000000,0.000003
2001,0.000000,0.000002
2002,0.000000,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000002
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000002
2008,0.000000,0.000000
2009,0.000000,0.000002
2010,0.000000,0.000004
2011,0.000000,0.000002
2012,0.000000,0.000006
2013,0.000000,0.000006
