year,Washington
1880,24
1881,20
1882,23
1883,20
1884,29
1885,21
1886,21
1887,12
1888,26
1889,19
1890,16
1891,14
1892,17
1893,13
1894,15
1895,19
1896,14
1897,19
1898,19
1899,16
1900,28
1901,19
1902,14
1903,7
1904,19
1905,14
1906,10
1907,18
1908,7
1909,8
1910,26
1911,18
1912,27
1913,26
1914,44
1915,48
1916,37
1917,45
1918,46
1919,54
1920,51
1921,60
1922,38
1923,37
1924,46
1925,34
1926,46
1927,41
1928,30
1929,31
1930,29
1931,21
1932,31
1933,31
1934,21
1935,26
1936,23
1937,23
1938,23
1939,21
1940,23
1941,23
1942,16
1943,25
1944,24
1945,24
1946,22
1947,36
1948,22
1949,26
1950,20
1951,18
1952,16
1953,18
1954,15
1955,11
1956,16
1957,22
1958,18
1959,11
1960,12
1961,11
1962,9
1963,16
1964,14
1965,14
1966,15
1967,9
1968,12
1969,7
1970,18
1971,10
1972,11
1973,9
1974,15
1975,14
1976,10
1977,13
1978,6
1979,15
1980,11
1981,16
1982,10
1983,8
1984,5
1985,9
1986,0
1987,7
1988,7
1989,8
1990,15
1991,16
1992,7
1993,12
1994,9
1995,12
1996,9
1997,9
1998,9
1999,6
2000,5
2001,11
2002,5
2003,8
2004,15
2005,8
2006,8
2007,5
2008,12
2009,7
2010,9
2011,15
2012,13
