year,Wayland
1880,0
1881,0
1882,0
1883,0
1884,5
1885,0
1886,6
1887,0
1888,0
1889,7
1890,0
1891,5
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,6
1910,9
1911,10
1912,32
1913,34
1914,37
1915,34
1916,33
1917,37
1918,42
1919,43
1920,39
1921,40
1922,54
1923,44
1924,57
1925,59
1926,53
1927,44
1928,51
1929,41
1930,38
1931,42
1932,43
1933,46
1934,52
1935,48
1936,47
1937,47
1938,53
1939,46
1940,57
1941,50
1942,59
1943,52
1944,34
1945,31
1946,42
1947,55
1948,57
1949,42
1950,32
1951,58
1952,32
1953,44
1954,49
1955,31
1956,31
1957,30
1958,51
1959,36
1960,43
1961,34
1962,42
1963,39
1964,44
1965,30
1966,29
1967,44
1968,33
1969,51
1970,49
1971,50
1972,36
1973,49
1974,49
1975,38
1976,41
1977,46
1978,43
1979,32
1980,39
1981,25
1982,35
1983,23
1984,31
1985,21
1986,24
1987,20
1988,16
1989,29
1990,20
1991,29
1992,23
1993,20
1994,25
1995,16
1996,24
1997,15
1998,18
1999,18
2000,17
2001,11
2002,9
2003,13
2004,20
2005,12
2006,20
2007,22
2008,13
2009,20
2010,12
2011,15
2012,28
